"","X","mctn","actn","mctp","actp","mcsal","acsal","mctnm","actnm","actpm","mctpm","mcnh4","acnh4","mcdoc","acdoc","mcsalm","acsalm","aflow","amaxstage","aminstage","mflow","mmaxstage","mmeanstage","mminstage","gTOC","gDO","gTP","gsal","gturb","gtemp","gNH4","gpH","gsecchi","gdepth","gchl","gTN","rTOC","rDO","rTP","rsal","rturb","rtemp","rNH4","rpH","rsecchi","rdepth","rchl","rTN","tTOC","tDO","tNN","tNO3","tNO2","tTP","tsal","tturb","ttemp","tNH4","tAP","tOP","tpH","tsecchi","tdepth","tchl","tchlb","tTN","marshtotrain","marshmeanrain","tschlorophyll","tsDO","tspH","tsrainfall","tssalinity","tstemperature","tsmeanstage","gschlorophyll","gsDO","gspH","gsrainfall","gssalinity","gstemperature","gsmeanstage"
"12",98,172.5,130.358,2.18,1.89333333333333,24.2666666666667,31.3888888888889,119.286,147.143,2.218,1.34,2,17.143,1216.667,1483.333,22.5,31.6,6.32806451612903,-0.404193548387097,-0.846129032258064,2.65366666666667,-0.331666666666667,-0.444333333333333,-0.541666666666667,6.675,4.875,0.01425,32.7,2.8,24.85,0.18225,7.95,1.15,1.15,7.7345,0.8495,5,6.31,0.011,34.6,3.3,21.3,0.198,7.9,1.3,1.3,1.15,0.601,11.1,6.44,NA,NA,0.00185,0.021,34,4.8,23.4,0.017,NA,0.00185185185185185,8,1,1.2,10.2,0.171943396226415,1.32,1.51,0.0487096774193548,8.56032258064516,7.27993548387097,8.3478064516129,0.0387096774193548,23.5096451612903,22.4252903225806,-0.525161290322581,2.41364516129032,6.96574193548387,8.2511935483871,0.047741935483871,30.6688620689655,21.5834516129032,-0.557225806451613
"13",99,165.918571428571,181.43,2.29714285714286,3.81,24.9666666666667,39.2,96.429,148.571,0.561,1.016,4.786,27.214,1216.667,1491.667,32.8,33.8,2.51392857142857,-0.635357142857143,-1.01857142857143,-5.38535714285714,-0.549642857142857,-0.638214285714286,-0.722857142857143,6.8,5.42,0.022,37.3,4.2,25.3,0.208,8,1,1,14.7,0.989,5.2,5.85,0.023,36.5,9.7,24.8,0.103,8,1.3,1.3,6.16,0.713,12.6,7.39,NA,NA,0.002,0.011,33.8,8.7,25.6,0.042,NA,0.00177777777777778,8.2,1.1,1.1,1.41,0.170301886792453,1.37,1.74,0.0621428571428571,10.0151666666667,7.22285714285714,8.54939285714286,0.0321428571428571,26.0521785714286,24.1286428571429,-0.690178571428571,3.78864285714286,6.34846428571429,8.01417857142857,0.0635714285714286,33.2486428571429,23.5232142857143,-0.717464285714286
"14",100,191.856,253.506363636364,2.884,6.26818181818182,25.1,41.7363636363636,86.429,192.143,1.671,0.296,2.929,2.071,1066.667,1866.667,39.7,33.5,-2.42290322580645,-0.851612903225806,-1.18193548387097,-9.83,-0.738387096774194,-0.825806451612903,-0.903548387096774,6.35,6.295,0.01275,38.7,2.55,25.05,0.117,8.2,1.05,1.05,7.48775,0.807,6.8,6.95,0.016,40.9,1.6,20.7,0.088,8.1,1,1,0.361,0.812,10.6,6.61,NA,NA,0.002,0.009,39.4,8.4,21,0.043,NA,0.0017037037037037,8.2,1,1,0.503,0.168660377358491,1.12,0.99,0.0319354838709677,4.2695,7.46951612903226,8.29606666666667,0.0390322580645161,29.5039677419355,23.6740967741935,-0.895741935483871,3.04966666666667,6.8434,8.26524137931034,0.0251612903225806,38.6972580645161,23.8955161290323,-0.94841935483871
"15",101,112.43,244.499,1.378,3.999,42.1833333333333,53.94,103.571,143.571,0.898,0.399,4.214,20.857,1350,1216.667,37.5,51.1,-28.6266666666667,-0.456666666666667,-0.787333333333333,-26.6113333333333,-0.359666666666667,-0.432666666666667,-0.499333333333333,5.9,7.17,0.0035,40.1,0.9,24.8,0.026,8.4,1.1,1.1,0.2755,0.625,12.1,6.71,0.008,40.1,1.6,24.8,0.023,8.4,1.2,1.2,0.601,1.22,10.2,7.36,NA,NA,0.002,0.004,36.8,1,25,0.058,NA,0.00162962962962963,8.2,1.2,1.2,0.311,0.167018867924528,1.01,2.14,0.0713333333333333,2.07073333333333,6.79296666666667,8.29886666666667,0.0456666666666667,38.3852666666667,26.6845333333333,-0.4882,1.32714285714286,6.7186,8.41306666666667,0.05,44.5518333333333,25.6444333333333,-0.477433333333333
"16",102,123.573333333333,241.07,1.33666666666667,3.312,42.8666666666667,57.17,97.857,162.143,0.752,0.295,3.286,23.929,1300,1725,42.6,56.7,-30.0448387096774,-0.381612903225806,-0.775483870967742,-23.0687096774194,-0.328064516129032,-0.407741935483871,-0.485483870967742,6.425,6.2725,0.005375,40.775,1.075,25.625,0.03725,8.275,1.075,1.075,0.315625,0.6985,11.7,7.22,0.016,43.5,1.4,25.5,0.156,8.1,2.3,2.3,0.295,1.31,12.8,6.51,NA,NA,0.002,0.007,38.5,1.3,25.3,0.049,NA,0.00155555555555556,8.2,2.1,2.1,0.256,0.165377358490566,1.24,1.53,0.0493548387096774,2.61890322580645,7.36325806451613,8.26112903225807,0.0709677419354839,39.8825161290323,29.9941612903226,-0.469,1.20209523809524,6.96241935483871,8.56706451612903,0.0432258064516129,45.9559032258065,29.3738387096774,-0.445129032258064
"17",103,135.116666666667,255.895,1.71833333333333,3.20222222222222,35.8833333333333,46.38,118.571,192.143,1.337,0.788,1.786,13.393,1575,1791.667,30.8,40.4,-7.69533333333333,-0.192333333333333,-0.550666666666667,6.072,-0.124666666666667,-0.201,-0.278,6.95,5.375,0.00725,41.45,1.25,26.45,0.0485,8.15,1.05,1.05,0.35575,0.772,5.75,3.54,0.0045,44.4,0.5,32.4,0.049,8.1,1.4,1.4,0.1605,0.63,12.7,5.34,NA,NA,0.002,0.006,39.6,1,32.2,0.076,NA,0.00148148148148148,8.2,1.2,1.2,0.338,0.163735849056604,1.22,10.78,0.359333333333333,3.67169565217391,7.55753333333333,8.25176666666667,0.406666666666667,35.3815333333333,31.1609,-0.2804,4.04431034482759,6.83426666666667,8.42956666666667,0.238333333333333,44.6437333333333,30.1592,-0.259866666666667
"18",104,150.999,216.0725,1.759,2.76,37.81,50.225,122.143,206.429,1.884,0.831,2.286,2.857,1441.667,1925,32.6,34.9,-1.78387096774194,-0.229032258064516,-0.549354838709677,-7.64290322580645,-0.187741935483871,-0.242258064516129,-0.306129032258065,7.475,4.4775,0.009125,42.125,1.425,27.275,0.05975,8.025,1.025,1.025,0.395875,0.8455,11,4.98,0.012,43.8,1.6,31.1,0.064,8,1.4,1.4,0.725,1.13,12.4,4.77,0.005,0.005,0.002,0.004,41.5,1.4,31.1,0.047,NA,0.00140740740740741,8.1,1.1,1.1,0.318,0.162094339622642,1.17,6.28,0.20258064516129,2.1398064516129,7.66048387096774,8.33087096774194,0.134838709677419,34.8118709677419,32.7027419354839,-0.285064516129032,9.708,6.66545161290323,8.53516129032258,0.194516129032258,44.1345806451613,31.6264516129032,-0.242967741935484
"19",105,151.999,260.793333333333,1.541,3.21,38.6,49.93,128.571,263.571,2.207,0.603,4,1,1783.333,2483.333,34.2,33.9,14.3587096774194,-0.229032258064516,-0.568709677419355,13.0429032258065,-0.159032258064516,-0.219354838709677,-0.284516129032258,8,3.58,0.011,42.8,1.6,28.1,0.071,7.9,1,1,0.436,0.919,5.2,4.49,0.01,41.2,1.8,27.9,0.073,7.8,1.5,1.5,0.473,0.634,15.8,4.55,0.006,0.0056,0.002,0.007,41.9,1.1,28.9,0.048,NA,0.00133333333333333,8.1,1.3,1.3,1.35,0.160452830188679,1.58,3.46,0.111612903225806,2.2938064516129,8.58548387096774,8.33151612903226,0.126451612903226,36.9660476190476,32.6930322580645,-0.286354838709677,8.92636,6.65967741935484,8.49034482758621,0.164193548387097,47.114935483871,31.5685161290323,-0.237193548387097
"20",106,136.2135,169.29,1.6535,3.31,25.475,18.2,133.571,263.571,4.749,2.323,2.5,52.714,2133.333,2325,10.1,14.4,21.9611111111111,0.197142857142857,-0.276785714285714,124.791,0.606,0.427,0.248666666666667,9.325,3.56,0.0205,32.15,3.625,27.35,0.0825,7.85,0.7,0.915,4.614,1.1195,16.2,0.73,0.079,33.2,10.9,29.6,0.167,7.2,0.45,1.5,16.5,2.26,16.1,1.55,0.007,0.0062,0.002,0.048,31.7,12.8,29.4,0.298,NA,0.00125925925925926,7.2,0.7,1.3,10.3,0.158811320754717,1.94,12.96,0.432,16.3625,2.88683333333333,7.7119,0.542333333333333,14.339,30.6770666666667,0.0141052631578947,7.91022222222222,2.23016666666667,7.46788888888889,1.85368421052632,31.4529666666667,30.5911,0.165766666666667
"21",107,120.428,177.429,1.766,2.944,12.35,20.56,122.143,222.857,3.174,1.256,26,23.214,1625,2183.333,6.9,19.9,65.3526315789474,0.155416666666667,-0.4,157.211290322581,0.377096774193548,0.279677419354839,0.172903225806452,10.65,3.54,0.03,21.5,5.65,26.6,0.094,7.8,0.4,0.83,8.792,1.32,16,5.9,0.045,26.8,10.5,27.3,0.013,8,0.52,1.5,33.7,2.2,16.3,4.95,0.008,0.0068,0.002,0.037,22.3,6.5,28,0.114,NA,0.00118518518518519,7.9,0.69,1,14.4,0.157169811320755,1.54,5.57,0.179677419354839,25.0818064516129,1.81658064516129,7.50641935483871,0.229161290322581,10.8375483870968,27.6371290322581,0.0916774193548387,55.92425,4.88170967741936,7.95822580645161,0.218064516129032,21.7598709677419,27.2942903225806,0.111225806451613
"22",108,137.858,186.786,1.258,3.213,12.43,23.84,129.286,196.429,1.677,1.032,11.929,59.071,1383.333,1833.333,9.5,17,40.65,-0.151666666666667,-0.660666666666667,47.755,-0.062,-0.175333333333333,-0.284666666666667,8.225,5.54,0.0345,25.25,15.65,21.1,0.2025,7.7,0.3,0.915,9.017,1.2325,10.6,7.61,0.038,28.9,17.9,24.3,0.073,8,0.4,1.5,23.9,1.58,14,7.33,0.009,0.0074,0.002,0.019,22.1,13.9,24.9,0.017,NA,0.00111111111111111,8,0.7,1.4,19.2,0.155528301886792,1.6,0.57,0.019,36.5862,6.03423333333333,8.0035,0.0528,13.2709666666667,25.3691,-0.262033333333333,44.4887333333333,6.2387,8.02106666666667,0.023,27.7881,25.2219,-0.2255
"23",109,185.713,219.072,2.256,2.901,24.31,17.5,165.714,227.143,2.04,2.178,10.286,66.5,1383.333,1441.667,11.6,17,25.1729032258065,-0.309032258064516,-0.800645161290323,25.6309677419355,-0.273548387096774,-0.388387096774194,-0.499032258064516,5.8,7.54,0.039,29,25.65,15.6,0.311,7.6,0.2,1,9.242,1.145,7.3,8.34,0.03,28.2,21.5,15.8,0.462,7.7,0.4,1.3,5.85,1.18,15.1,8.64,0.01,0.008,0.00233333333333333,0.035,25.5,17.7,16.7,0.016,NA,0.00103703703703704,7.8,0.5,1.2,25.3,0.15388679245283,2.07,0.42,0.0135483870967742,37.1315806451613,6.78387096774194,8.03745161290323,0.0141935483870968,17.8541290322581,23.4491935483871,-0.44741935483871,35.8930322580645,7.30390322580645,8.074,0.0196774193548387,26.1359677419355,22.8591290322581,-0.453290322580645
"24",110,180.129090909091,212.597272727273,1.7775,3.68818181818182,18.72,22.8272727272727,125.714,214.286,2.181,1.268,7.85725,34.2855,1225,1512.5,14.1,17.85,22.3090322580645,-0.82258064516129,-1.19709677419355,23.158064516129,-0.714193548387097,-0.838709677419355,-0.953225806451613,7.2,8.18,0.0335,29.25,16.525,20.9,0.233875,7.9,0.25,1,12.392,1.235,7.1,8.76,0.025,30,12.9,18,0.161,8.1,0.6,1.2,7.19,1.06,7.15,7.24,0.011,0.0086,0.00266666666666667,0.0155,25.3,9.85,17.9,0.0705,NA,0.000962962962962963,8,0.4,1.1,10.192,0.152245283018868,1.08,0.55,0.017741935483871,30.7060322580645,7.66570967741935,8.056,0.0461290322580645,18.8907741935484,19.7316451612903,-0.907129032258065,33.1732903225806,7.61806451612903,8.10751612903226,0.0348387096774194,26.3438064516129,19.3783225806452,-1.00651612903226
"25",111,160.874444444444,238.333333333333,2.13625,3.02444444444444,21.08,31.0666666666667,135,201.429,2.322,1.401,5.4285,2.071,1225,1583.333,20.7,18.7,6.1936,-0.8156,-1.1752,-4.47107142857143,-0.755357142857143,-0.8425,-0.949285714285714,8.6,8.82,0.028,29.5,7.4,26.2,0.15675,8.2,0.3,1,15.542,1.325,17.4,7.57,0.073,31.6,17,26.7,0.0855,8,0.3,1.3,53.1,2.51,9.4,7.71,0.012,0.0092,0.003,0.012,26.8,6.5,26.6,0.316,NA,0.000888888888888889,7.9,1,1,1.09,0.150603773584906,1.32,1.15,0.0410714285714286,21.8100714285714,6.79260714285714,8.17528,0.0303571428571429,22.6907142857143,25.21125,-0.885607142857143,49.6677857142857,6.23128571428571,8.10064285714286,0.0571428571428571,30.4991428571429,25.1572857142857,-0.832678571428571
"26",112,116.715,244.428,1.12,3.59,30.41,41.64,119.286,218.571,2.666,1.123,2.99975,0.571,1266.667,1025,26.3,36.7,-32.1248387096774,-0.256451612903226,-0.859354838709677,-36.7096774193548,-0.246129032258065,-0.392903225806452,-0.521612903225806,7.375,5.395,0.022,35.2,5.775,27.85,0.079625,8.05,0.45,1,12.967,1.1125,13.3,7.82,0.065,32.9,18.9,25.6,0.01,7.9,2,2.4,41.9,2.11,10.1,6.66,0.013,0.0098,0.00333333333333333,0.008,26.9,4.6,26.5,0.163,NA,0.000814814814814815,7.9,2,2,1.1,0.148962264150943,1.19,0.39,0.0125806451612903,11.5783225806452,7.21190322580645,8.14264516129032,0.0119354838709677,27.9882258064516,23.5317741935484,-0.418193548387097,31.9927096774194,6.63364516129032,8.09570967741936,0.0141935483870968,34.59976,23.0785806451613,-0.417290322580645
"27",113,133,181.298181818182,1.202,2.09272727272727,33.02,48.4727272727273,136.429,170,1.805,1.065,0.571,1,1325,1125,29.6,42.6,-18.7403333333333,-0.343333333333333,-0.824666666666667,-8.91433333333333,-0.296666666666667,-0.415333333333333,-0.531,6.15,1.97,0.016,40.9,4.15,29.5,0.0025,7.9,0.6,1,10.392,0.9,8.7,2.26,0.022,38.7,5,29.4,0.116,7.9,1.3,1.3,6.89,1.14,10.7,1.89,0.014,0.0104,0.00366666666666667,0.018,35.1,2.1,29.4,0.146,NA,0.000740740740740741,7.8,2.1,2.1,1.87,0.147320754716981,1.32,1.91,0.0636666666666667,11.6757333333333,6.12193333333333,8.13856666666667,0.129333333333333,32.6993,27.8399,-0.450166666666667,9.21496666666667,5.4526,7.92293333333333,0.125666666666667,33.1794388235294,27.4739333333333,-0.4469
"28",114,145.584545454545,191.858,1.56,3.061,33.4727272727273,40.85,152.143,182.857,3.456,1.592,0.929,1.786,1358.333,2116.667,26.6,21.4,17.3325,-0.560740740740741,-0.982592592592593,7.19,-0.535161290322581,-0.651612903225806,-0.755483870967742,9.175,3.335,0.0245,34.5,6.325,29.35,0.23975,8,0.6,1,11.146,1.39,7.6,5.06,0.017,35.1,7.2,24.7,0.087,7.8,0.4,1.3,4.51,0.834,12.2,4.83,0.015,0.011,0.004,0.01,30.1,3.5,24.9,0.205,NA,0.000666666666666667,7.8,1,1,1.33,0.145679245283019,1.27,8.48,0.273548387096774,15.5394838709677,5.64616129032258,8.13883870967742,0.342258064516129,31.6925806451613,27.6146451612903,-0.694290322580645,17.1182941176471,6.01041935483871,8.04225806451613,0.432903225806452,31.7591176470588,27.1626451612903,-0.655032258064516
"29",115,186.929,257.935555555556,2.189,5.979,24.9,23.03,182.857,240.714,3.852,1.875,1.571,33.857,2033.333,2641.667,20.6,15.5,37.8636666666667,-0.309333333333333,-0.786333333333333,46.3063333333333,-0.352666666666667,-0.448,-0.540666666666667,12.2,4.7,0.033,28.1,8.5,29.2,0.477,8.1,0.6,1,11.9,1.88,6.2,4.89,0.017,30.2,5.2,29.9,0.255,8.2,1.3,1.3,1.42,0.97,12.9,4.32,0.012,0.012,0.00375,0.017,30,1.6,30,0.087,NA,0.000592592592592592,8.3,1.1,1.1,3.43,0.144037735849057,1.4,8.16,0.272,25.0538,5.96766666666667,8.12816666666667,0.124,23.8514,31.0869333333333,-0.5138,45.9855333333333,5.10786666666667,8.13166666666667,0.281333333333333,24.0959666666667,31.3094,-0.448833333333333
"30",116,149.714,245.429,1.13454545454545,4.025,21.5272727272727,19.58,148.571,142.857,3.213,1.341,1.143,3.5,1775,2533.333,18,16,44.4248387096774,-0.09,-0.620322580645161,80.1741935483871,-0.154838709677419,-0.256451612903226,-0.36,14.55,5.37,0.031,29.35,7.75,29.45,0.244,8.25,0.6,1,10.58,1.95,11,5.74,0.028,31.8,5.8,32.1,0.009,8,1.3,1.3,10.1,1.2,13.8,6.11,0.007,0.007,0.0035,0.012,33.2,2.2,32.4,0.019,NA,0.000518518518518519,8.1,1.1,1.1,5.01,0.142396226415094,1.41,6.68,0.215483870967742,17.1726129032258,5.66445161290323,8.19606451612903,0.169677419354839,22.3440967741935,31.9788709677419,-0.327677419354839,23.981064516129,5.28909677419355,8.17783870967742,0.223870967741935,26.0741612903226,31.9124516129032,-0.271387096774194
"31",117,143.643,245.196363636364,1.13,3.04545454545455,20.58,24.91,152.857,222.143,2.372,1.066,1.143,1.714,1666.667,2358.333,22.2,15.6,24.4544827586207,-0.181379310344828,-0.649655172413793,18.7696774193548,-0.210967741935484,-0.303225806451613,-0.403225806451613,16.9,6.04,0.029,30.6,7,29.7,0.011,8.4,0.6,1,9.26,2.02,4.55,5.3,0.0065,33.4,1.75,29.5,0.005,8.1,1.2,1.2,1.036,0.4745,12.8,6.46,0.007,NA,0.00325,0.008,32.6,2.5,30.4,0.019,NA,0.000444444444444444,8.1,1,1,2.17,0.140754716981132,1.31,4.74,0.152903225806452,11.3841612903226,5.86258064516129,8.16596774193548,0.0754838709677419,22.9879677419355,31.6523548387097,-0.353451612903226,24.6853870967742,5.51493548387097,8.20038709677419,0.176129032258065,29.2991290322581,31.3035806451613,-0.292064516129032
