temp,pH,turbidity,NO2,NH4,TOC,TP,TN,salinity,chlorophyll,source
,,,0.029,0.808,774.4,0.673,71.4,,,combined
,,,0.107,0.307,706.3,0.697,45.7,,,combined
,,,0.107,0.307,706.3,0.697,45.7,,,combined
25.4,8.47,3.6,0.156,1.227,695.3,0.451,48.8,32.7,0.82,combined
25.4,8.47,3.6,0.156,1.227,695.3,0.451,48.8,32.7,0.69,combined
22.9,,,0.305,3.301,2455.0,4.35,188.3,25.8,,combined
22.9,,,0.305,3.301,2455.0,4.35,188.3,25.8,,combined
25.2,8.51,56.5,0.058,1.594,1341.0,2.022,57.9,34.17,13.97,combined
25.2,8.51,56.5,0.058,1.594,1341.0,2.022,57.9,34.17,14.9,combined
25.0,8.3,9.67,0.063,0.552,1272.0,1.732,105.7,161.96,14.74,combined
25.0,8.3,9.67,0.063,0.552,1272.0,1.732,105.7,161.96,16.18,combined
30.049,7.88,6.22,0.042,0.472,484.4,0.737,51.7,27.74,6.58,combined
30.049,7.88,6.22,0.042,0.472,484.4,0.737,51.7,27.74,2.91,combined
24.8,8.32,2.06,0.152,4.033,372.8,0.681,30.5,27.02,1.66,combined
24.8,8.32,2.06,0.152,4.033,372.8,0.681,30.5,27.02,1.64,combined
23.9,7.26,16.15,0.241,6.256,679.7,1.578,68.1,21.64,16.77,combined
23.9,7.26,16.15,0.241,6.256,679.7,1.578,68.1,21.64,19.06,combined
26.7,,,0.131,8.696,857.5,0.877,73.3,63.6,,combined
26.7,,,0.131,8.696,857.5,0.877,73.3,63.6,,combined
33.315,8.0,29.3,0.08,0.718,539.9,1.243,65.5,27.91,8.13,combined
33.315,8.0,29.3,0.08,0.718,539.9,1.243,65.5,27.91,8.16,combined
25.7,8.33,31.78,0.111,1.108,1228.0,5.919,138.6,10.67,15.24,combined
25.7,8.33,31.78,0.111,1.108,1228.0,5.919,138.6,10.67,13.47,combined
25.5,8.34,1.59,0.059,0.865,411.0,0.328,33.3,31.97,0.97,combined
25.5,8.34,1.59,0.059,0.865,411.0,0.328,33.3,31.97,0.76,combined
,,,0.052,6.352,789.5,0.538,75.0,,,combined
,,,0.052,6.352,789.5,0.538,75.0,,,combined
,,,0.057,0.257,764.1,0.392,50.0,,,combined
,,,0.057,0.257,764.1,0.392,50.0,,,combined
25.2,,,0.006,0.433,626.8,0.357,39.5,0.3,,combined
25.2,,,0.006,0.433,626.8,0.357,39.5,0.3,,combined
29.525,7.64,0.1,0.165,0.455,1843.0,1.36,123.8,0.21,,combined
29.525,7.64,0.1,0.165,0.455,1843.0,1.36,123.8,0.21,,combined
29.55,7.61,4.44,0.196,1.276,1695.0,1.94,134.0,0.22,11.43,combined
29.55,7.61,4.44,0.196,1.276,1695.0,1.94,134.0,0.22,9.62,combined
23.2,,,0.038,1.103,676.4,0.35,75.2,0.1,,combined
23.2,,,0.038,1.103,676.4,0.35,75.2,0.1,,combined
27.831,6.96,22.1,0.069,0.222,871.7,1.584,88.3,0.34,7.92,combined
27.831,6.96,22.1,0.069,0.222,871.7,1.584,88.3,0.34,8.54,combined
25.2,8.42,1.01,0.014,0.354,799.7,0.458,57.9,30.8,0.63,combined
25.2,8.42,1.01,0.014,0.354,799.7,0.458,57.9,30.8,1.38,combined
31.601,8.08,1.53,0.143,0.929,883.3,0.538,79.0,36.46,,combined
31.601,8.08,1.53,0.143,0.929,883.3,0.538,79.0,36.46,8.2,combined
25.4,8.39,1.65,0.049,1.02,520.6,0.369,45.7,30.45,0.75,combined
25.4,8.39,1.65,0.049,1.02,520.6,0.369,45.7,30.45,0.83,combined
31.444,8.08,0.7,0.127,2.22,663.8,0.969,51.2,36.73,1.87,combined
31.444,8.08,0.7,0.127,2.22,663.8,0.969,51.2,36.73,1.79,combined
24.7,8.15,22.4,0.14750000000000002,0.3275,2055.5,2.226,133.7,6.89,26.975000000000005,cleaned
24.56,8.32,14.1,0.006,0.2175,1013.0,1.217,98.44999999999999,21.88,13.56,cleaned
24.57,7.96,18.5,0.159,1.617,1456.0,1.8479999999999999,120.2,35.47,27.105,cleaned
24.77,8.33,34.6,0.084,0.5635,1723.5,3.65,179.75,13.92,43.330000000000005,cleaned
28.32,8.26,33.7,,,1580.0,2.814,175.5,29.99,28.810000000000002,cleaned
31.97,7.71,19.4,0.041,1.5725,3605.0,2.262,168.14999999999998,20.21,30.774999999999995,cleaned
30.84,7.64,22.8,,0.2815,1657.5,2.0095,114.19999999999999,30.04,27.774999999999995,cleaned
30.365000000000002,7.994999999999999,34.9,0.041,0.369,1533.5,1.7200000000000002,192.60000000000002,31.225,30.820000000000004,cleaned
23.115000000000002,8.28,6.57,0.033,0.497,298.8,0.6545000000000001,21.131,34.5,4.6,cleaned
20.425,8.055,1.82,0.007,0.1935,334.96000000000004,0.47650000000000003,24.525,29.625,0.53,cleaned
24.0,8.49,0.9,0.036500000000000005,,384.70000000000005,0.278,29.3,30.755000000000003,0.33,cleaned
19.990000000000002,8.23,1.56,0.009,0.22799999999999998,395.70000000000005,0.3655,27.855,33.76,0.47500000000000003,cleaned
20.229999999999997,8.25,2.58,0.0,0.19,370.5,0.53,19.939999999999998,29.96,0.26,cleaned
19.915,8.17,4.26,0.01,0.2,325.75,0.44999999999999996,20.715,34.78,1.15,cleaned
25.87,8.08,6.74,,1.455,464.83,0.885,30.125,28.455,11.405,cleaned
23.935000000000002,8.11,3.88,0.095,1.605,378.58,0.655,35.165000000000006,27.35,8.86,cleaned
21.240000000000002,8.325,2.63,0.004,0.014,734.75,1.0514999999999999,52.75,31.595,6.145,cleaned
25.768500000000003,8.24,2.87,0.0765,0.424,441.20000000000005,0.43,36.911,26.345,1.33,cleaned
25.04,8.22,0.72,0.0495,0.4705,405.8,0.3135,24.75,40.765,0.815,cleaned
24.475,8.33,1.18,0.009999999999999998,0.0885,392.8,0.37,37.86,33.54,0.255,cleaned
25.1045,8.28,1.36,0.0,,404.667,0.4,28.57,37.945,0.27,cleaned
27.133,8.515,1.25,0.018500000000000003,0.2945,441.35,0.418,30.0,36.05,0.4749999999999999,cleaned
27.32,8.63,1.3,0.039,0.1525,383.5,0.6910000000000001,23.950000000000003,32.7,0.25,cleaned
29.645,8.395,1.0,0.0245,0.1795,441.445,0.419,36.43,37.165,0.535,cleaned
30.615000000000002,8.594999999999999,2.39,,,662.15,0.728,53.099999999999994,35.595,5.349999999999999,cleaned
29.634999999999998,8.315000000000001,2.86,0.0215,0.3185,660.3,0.7035,28.91,42.82,4.815,cleaned
26.625,8.165,1.88,0.02,0.0,267.79150000000004,0.395,22.265,37.455,0.49,cleaned
28.643,8.25,1.33,0.05,0.355,325.33500000000004,0.43,22.98,38.45,0.43,cleaned
31.035,8.030000000000001,2.46,0.23,2.02,487.16650000000004,0.475,40.235,39.745000000000005,1.8150000000000002,cleaned
31.67,8.33,0.7,0.022,0.6895,470.16650000000004,0.3575,15.2635,38.835,0.585,cleaned
30.115000000000002,8.135000000000002,1.23,0.020999999999999998,0.3295,192.45,0.3065,18.8095,37.1,0.5449999999999999,cleaned
32.76,8.31,0.6,0.051500000000000004,0.891,263.15,0.425,8.0,37.67,0.93,cleaned
30.18,8.245000000000001,1.31,0.0125,0.16749999999999998,846.665,0.405,43.095,38.035,0.7600000000000001,cleaned
30.5,8.12,1.72,0.13,0.97,288.21000000000004,0.325,24.564999999999998,35.3,0.645,cleaned
32.480000000000004,8.129999999999999,0.69,0.09,0.765,257.46000000000004,0.7150000000000001,24.38,38.285,1.665,cleaned
30.1215,,1.28,0.05,0.9099999999999999,263.83349999999996,0.4,16.785,37.36,0.63,cleaned
31.96,8.41,1.22,0.015,0.177,488.45849999999996,0.4065,18.515500000000003,40.105000000000004,2.9599999999999995,cleaned
27.990000000000002,7.91,6.36,0.01,0.1555,621.96,1.174,75.595,38.58,18.46,cleaned
32.32,8.065000000000001,0.58,0.095,0.5605,575.9000000000001,0.3,48.6,37.71,1.26,cleaned
26.56,8.17,3.16,0.06,0.53,426.625,0.36,39.05,38.894999999999996,0.375,cleaned
31.175,8.125,1.4,,2.1799999999999997,289.92,0.405,25.130000000000003,33.78,1.11,cleaned
28.69,8.27,0.62,0.07150000000000001,0.7595000000000001,489.3,0.363,32.7,36.59,1.04,cleaned
32.08,8.094999999999999,1.02,0.06,0.849,465.85,0.4605,37.614999999999995,38.35,0.94,cleaned
20.13,8.18,2.56,0.024,1.2255,730.835,0.372,59.17,24.905,0.42,cleaned
24.866500000000002,8.135000000000002,3.65,0.29900000000000004,9.933,652.8499999999999,0.388,53.8,21.645,0.435,cleaned
20.18,8.225000000000001,5.7,0.086,1.3904999999999998,899.55,0.589,74.16499999999999,32.08,9.885,cleaned
19.645,8.175,5.7,0.03,2.01,786.665,0.635,51.0,28.6,4.915,cleaned
19.1,8.105,2.38,0.07,2.79,813.0415,0.33999999999999997,60.955,40.2,0.34,cleaned
21.965000000000003,8.125,1.18,0.062,2.2575000000000003,390.3,0.243,31.905,37.135000000000005,0.33,cleaned
25.54,8.145,7.11,0.005,2.325,827.875,0.5,56.005,25.155,3.9599999999999995,cleaned
24.189999999999998,8.155000000000001,1.9,0.2815,3.132,361.55,0.4215,30.1,29.495,0.355,cleaned
23.53,8.135000000000002,6.29,0.005,2.49,809.085,0.555,61.91,25.455,4.965,cleaned
25.8005,8.2,0.89,0.182,11.724,481.7,0.257,44.338499999999996,23.69,0.25,cleaned
25.21,8.175,2.55,0.1035,6.2425,745.45,0.24,54.0,34.37,0.38999999999999996,cleaned
25.875,8.13,7.72,0.07,4.27,729.75,0.41,67.69,35.760000000000005,0.71,cleaned
25.105,8.35,2.0,0.038000000000000006,4.125,735.9,0.796,56.2,27.33,1.405,cleaned
24.405,8.32,1.45,0.048,0.5934999999999999,641.15,0.3805,65.11500000000001,28.44,0.125,cleaned
24.028,8.07,1.68,0.06,3.115,773.4165,0.245,61.07,40.82,0.19000000000000003,cleaned
27.005000000000003,8.315000000000001,1.66,0.047,3.6665,702.05,0.3155,55.12,33.65,0.285,cleaned
29.15,8.33,1.51,0.0305,2.5985,751.78,0.3365,70.12,35.19,0.325,cleaned
30.125,8.31,1.22,,,580.8499999999999,0.2995,47.15,31.605,0.77,cleaned
28.979999999999997,8.28,1.64,0.109,5.6055,919.6,0.272,37.935,40.915,0.715,cleaned
25.939999999999998,8.29,1.85,0.05,2.23,749.3335,0.295,63.335,43.504999999999995,0.4000000000000001,cleaned
28.192500000000003,8.28,5.73,0.060000000000000005,2.3449999999999998,822.875,0.35,55.99,37.47,0.82,cleaned
30.810000000000002,8.21,3.0,0.035,1.3250000000000002,611.3335,0.36,63.81,43.14,3.2900000000000005,cleaned
30.19,8.17,4.29,0.001,0.23600000000000002,1067.5,0.5725,104.4045,40.885000000000005,8.19,cleaned
33.775000000000006,8.165,1.48,0.038,4.5205,643.2,0.33,50.7,37.715,0.66,cleaned
31.16,8.2415,2.15,0.023,2.4895,1145.4165,0.346,38.716499999999996,37.175,2.27,cleaned
30.39,8.42,1.22,0.0035,1.543,586.625,0.2475,50.834999999999994,39.114999999999995,0.7200000000000001,cleaned
31.155,8.235,2.1,0.09,4.495,771.79,0.355,67.25,34.07,0.895,cleaned
32.95,8.25,1.27,0.215,2.065,941.665,0.215,77.22,44.325,0.315,cleaned
29.775,,2.11,0.03,1.5750000000000002,707.125,0.395,62.5,40.555,0.89,cleaned
31.955,8.18,1.64,0.035500000000000004,5.647,639.3499999999999,0.1875,58.7,33.175,1.25,cleaned
27.685000000000002,8.15,3.29,0.058499999999999996,4.329,717.125,0.3,62.619,37.04,0.555,cleaned
30.845,8.165,2.23,0.0265,1.4585,1057.9165,0.376,59.593,40.21,5.46,cleaned
31.175,8.25,2.66,0.0275,2.2445,841.65,0.3885,36.95,37.98,3.51,cleaned
26.43,8.2,6.05,0.03,1.06,777.1665,0.25,68.215,41.394999999999996,0.935,cleaned
30.465,7.995,6.23,0.02,0.44,869.17,0.645,63.34,33.345,11.24,cleaned
32.025,8.195,2.51,0.04,4.7075,752.0999999999999,0.3215,67.5,36.754999999999995,0.685,cleaned
20.34,8.08,7.41,0.024,0.16899999999999998,338.75,0.647,27.740000000000002,29.32,1.0350000000000001,cleaned
24.729999999999997,8.325,1.66,0.0125,,480.2,0.513,28.0,29.994999999999997,0.44999999999999996,cleaned
22.68,8.2,14.2,0.0195,0.46199999999999997,285.3,0.7995,21.665,33.23,3.39,cleaned
22.72,8.024999999999999,28.1,0.04,1.84,394.21000000000004,1.1549999999999998,24.125,30.095,6.895,cleaned
20.53,8.12,8.3,0.015,0.265,365.75,0.545,23.57,34.37,1.2850000000000001,cleaned
24.71,8.0,16.0,0.1285,0.964,366.54999999999995,0.685,24.881,32.36,2.415,cleaned
24.7,8.085,5.94,0.0735,1.0145,739.3499999999999,0.968,53.45,30.18,4.3,cleaned
24.175,7.925,17.3,0.175,6.529999999999999,381.78999999999996,1.02,34.695,26.630000000000003,8.22,cleaned
24.417,8.3,9.8,0.0215,0.125,878.3,0.941,50.751999999999995,18.2,11.46,cleaned
25.064999999999998,8.42,1.83,0.027,0.271,441.9,0.425,23.4,40.235,0.645,cleaned
25.43,8.17,1.47,0.006,2.592,422.15,0.914,25.25,31.76,0.52,cleaned
24.81,8.07,14.3,0.174,2.068,333.4,0.8195,42.38,33.37,2.095,cleaned
24.15,8.2,6.12,,0.1,904.1665,0.565,70.83500000000001,39.7,0.57,cleaned
27.270000000000003,8.15,26.0,0.013,0.138,793.75,2.117,87.5,36.765,20.21,cleaned
28.58,8.47,2.25,,,854.55,0.891,62.25,32.23,4.595,cleaned
28.05,7.95,12.7,0.073,0.9115,735.54,0.784,40.834999999999994,37.05,2.235,cleaned
29.36,8.32,16.6,0.0315,0.224,904.6,1.5495,44.97,43.64,13.280000000000001,cleaned
26.83,8.09,9.12,0.03,0.345,288.542,0.615,28.925,37.97,1.12,cleaned
28.869,8.01,19.7,0.57,4.82,425.92,1.085,35.025000000000006,37.995,1.79,cleaned
31.77,8.1,16.2,0.35,2.33,434.83349999999996,0.745,41.31,39.76,2.355,cleaned
33.47,8.344999999999999,2.63,0.020999999999999998,0.095,313.25,0.495,16.4,37.87,0.63,cleaned
31.85,8.335,4.54,0.0045000000000000005,0.2355,423.29150000000004,0.443,13.76,38.495,0.93,cleaned
30.36,8.17,17.9,0.024,0.1665,321.9,0.7909999999999999,33.4525,37.64,8.065,cleaned
32.315,7.965,9.35,0.0445,2.5735,681.915,0.647,57.5,39.230000000000004,1.7700000000000002,cleaned
30.395,7.925,12.1,0.53,1.8849999999999998,322.875,0.685,31.89,35.655,6.75,cleaned
32.77,8.0,16.0,0.325,2.76,299.03999999999996,0.69,33.38,40.035,3.1199999999999997,cleaned
30.7,,12.9,0.045,0.595,243.9585,0.64,18.93,36.83,1.6900000000000002,cleaned
30.73,8.12,0.55,0.0495,0.806,387.0,0.3695,25.05,36.48,0.71,cleaned
31.795,8.11,1.54,0.142,2.8405,506.7,0.382,41.7,37.685,1.025,cleaned
31.270000000000003,8.285,2.5,0.058,0.5785,342.125,0.424,15.704,40.07,0.8450000000000001,cleaned
29.25,8.05,14.4,0.0035,0.149,927.5,1.486,105.0,37.965,22.61,cleaned
27.65,8.15,10.4,0.06,0.93,410.625,0.685,41.425,35.614999999999995,3.5,cleaned
30.034999999999997,7.75,7.6,,18.425,348.0,0.75,43.9,33.585,4.805,cleaned
31.165,8.004999999999999,11.1,0.1295,3.7670000000000003,434.4,0.721,43.69,37.46,3.485,cleaned
20.235,7.92,9.98,0.0235,0.35750000000000004,312.96000000000004,0.6930000000000001,24.285,29.0,1.5249999999999997,cleaned
23.37,8.105,15.0,0.048,,356.65,0.673,27.5,30.494999999999997,3.515,cleaned
20.020000000000003,8.04,12.8,0.0055,0.1845,412.0,1.1185,33.455,32.965,8.25,cleaned
20.244999999999997,7.915,23.5,0.1,1.315,383.045,1.17,23.240000000000002,29.535,7.400000000000001,cleaned
18.39,7.955,17.1,0.07500000000000001,0.435,373.917,0.735,29.285,33.985,3.115,cleaned
22.96,7.95,39.4,0.14250000000000002,0.605,327.0,1.6935,31.429,33.165,5.915,cleaned
25.69,8.024999999999999,22.1,0.405,3.8449999999999998,439.71000000000004,1.5550000000000002,33.040000000000006,26.634999999999998,23.575,cleaned
24.1,7.98,28.1,0.059500000000000004,0.483,603.8,1.694,55.95,31.605,10.125,cleaned
23.515,7.93,25.4,0.13,4.800000000000001,369.5,1.115,31.195,26.799999999999997,9.07,cleaned
25.520000000000003,8.01,39.0,0.1205,0.2015,295.55,1.268,27.6265,30.9,11.660000000000002,cleaned
24.55,8.094999999999999,8.07,0.013999999999999999,0.040499999999999994,292.25,0.5805,17.75,37.39,2.21,cleaned
25.66,7.76,58.3,0.36,1.46,338.25,1.59,47.23,33.275,8.55,cleaned
24.71,8.035,12.5,0.07100000000000001,0.3045,351.20000000000005,1.23,24.9,31.535,2.32,cleaned
24.23,7.91,29.7,0.226,1.7635,297.5,1.1545,37.975,33.44,5.199999999999999,cleaned
25.194000000000003,7.96,16.9,0.03,0.04,351.5,0.86,27.5,36.05,3.095,cleaned
23.22,8.13,41.2,0.0315,0.22849999999999998,369.8,1.4965000000000002,39.765,35.19,8.37,cleaned
29.48,8.0,44.3,0.5315000000000001,1.3715000000000002,379.28,1.537,46.07,35.695,9.735,cleaned
28.509999999999998,8.3,43.1,0.1215,0.6154999999999999,537.8,1.866,26.43,42.14,12.63,cleaned
26.495,7.93,51.9,0.025,0.175,191.29149999999998,0.735,29.884999999999998,37.14,2.255,cleaned
28.3555,7.91,11.8,0.525,2.435,402.28999999999996,0.925,33.065,37.19499999999999,3.7750000000000004,cleaned
28.075,8.28,22.2,,,645.5999999999999,1.6375000000000002,56.05,34.985,6.275000000000001,cleaned
30.674999999999997,7.91,24.6,0.45999999999999996,1.6749999999999998,292.125,0.84,37.015,34.235,5.91,cleaned
32.185,8.175,5.42,0.003,0.0775,212.10000000000002,0.7144999999999999,15.450000000000001,37.144999999999996,1.3500000000000003,cleaned
31.12,8.13,14.6,0.028999999999999998,0.159,325.29150000000004,0.8625,11.881499999999999,37.5,3.155,cleaned
29.985,8.01,10.3,0.0015,0.1325,217.0,0.747,22.9765,36.95,6.324999999999999,cleaned
30.185000000000002,8.04,13.2,0.0085,0.014,316.25,0.754,27.025,37.5,4.35,cleaned
30.665,7.97,11.1,0.41,2.37,219.04000000000002,0.765,24.775,36.065,3.98,cleaned
32.315,8.165,6.82,0.06,0.28500000000000003,212.4,0.495,18.67,38.82,1.8950000000000002,cleaned
30.185000000000002,,17.3,0.02,0.125,222.41649999999998,0.865,17.145,36.629999999999995,6.945,cleaned
29.545,8.205,35.1,0.3185,2.5545,819.7,1.2694999999999999,29.45,36.335,3.2999999999999994,cleaned
30.505000000000003,8.04,10.3,0.0905,1.2515,246.79149999999998,0.6815,16.1075,39.629999999999995,1.64,cleaned
27.47,7.825,29.2,0.428,10.0075,356.625,1.187,62.262,35.19,4.67,cleaned
27.46,8.01,9.83,0.01,0.245,347.04150000000004,0.735,28.81,34.32,11.165,cleaned
30.633,7.665,54.3,0.255,24.915,266.33500000000004,1.745,51.730000000000004,34.375,32.8,cleaned
31.045,7.92,13.2,0.4335,2.465,361.54999999999995,0.717,32.980000000000004,37.17,2.595,cleaned
23.11,8.06,8.84,0.0915,,341.20000000000005,0.5095000000000001,26.299999999999997,30.71,3.065,cleaned
24.485,8.09,4.38,0.0595,0.556,305.7,0.5315000000000001,18.9,36.400000000000006,1.8150000000000002,cleaned
25.455,7.925,83.1,0.04,0.17,298.75,1.61,53.68,34.004999999999995,8.025,cleaned
25.0,8.06,16.0,0.0635,0.263,348.54999999999995,1.431,24.05,31.43,3.095,cleaned
27.955,8.385000000000002,26.8,,,560.8,1.138,47.65,36.045,4.205,cleaned
32.45,8.19,5.54,0.052000000000000005,0.3935,185.8,0.6635,12.95,37.17,1.39,cleaned
29.64,8.1,56.3,0.287,5.2515,690.65,2.1215,29.15,37.17,4.56,cleaned
19.509999999999998,8.15,1.31,0.055,1.517,611.835,0.5005,52.144999999999996,29.54,0.18000000000000002,cleaned
25.538,8.22,1.64,0.121,4.5920000000000005,792.8499999999999,0.4595,60.3,23.195,3.01,cleaned
21.695,8.215,1.95,0.20400000000000001,4.991,437.55,0.46299999999999997,39.644999999999996,32.685,0.93,cleaned
20.9655,8.2,2.6,0.095,3.125,508.17,0.54,32.025,29.95,0.315,cleaned
20.23,8.19,1.67,0.06,2.08,705.375,0.415,51.43,38.57,0.265,cleaned
24.439999999999998,7.915,1.71,0.131,8.1345,391.45000000000005,0.40549999999999997,39.0475,34.975,0.815,cleaned
23.645,8.09,1.17,0.133,4.566000000000001,301.79999999999995,0.4965,28.700000000000003,32.82,0.29000000000000004,cleaned
23.625,8.07,6.11,,2.005,943.75,0.985,74.50999999999999,28.265,13.46,cleaned
24.180500000000002,8.2,1.09,0.1575,8.998000000000001,405.55,0.243,39.299499999999995,26.545,0.235,cleaned
25.525,8.235,2.96,0.0685,3.0535,692.0,0.23149999999999998,54.150000000000006,36.035,0.665,cleaned
23.935000000000002,8.32,1.48,0.0345,1.6955,609.15,0.4585,61.075,30.13,0.305,cleaned
25.515,8.46,0.88,0.029,1.0505,738.75,0.676,54.3,30.82,0.6999999999999998,cleaned
25.17,8.25,1.39,0.005,0.26,617.292,0.295,52.86,40.52,0.365,cleaned
27.21,8.26,1.85,0.0655,4.6915,528.45,0.3285,44.405,35.28,0.34,cleaned
30.785,8.4,0.84,,,476.35,0.199,42.849999999999994,35.629999999999995,0.8799999999999999,cleaned
29.465,8.305,1.63,0.018500000000000003,0.875,773.165,0.3655,70.48,38.155,1.0,cleaned
25.83,8.225000000000001,0.96,0.0615,2.0679999999999996,806.55,0.63,39.99,41.9,0.62,cleaned
27.355,8.455,1.58,0.06,1.165,629.917,0.31,59.165,40.515,0.67,cleaned
27.89,8.35,2.55,0.035,0.565,780.5,0.445,51.495000000000005,37.465,1.9249999999999998,cleaned
31.799999999999997,8.3,1.85,0.04,2.38,149.9125,0.275,52.025000000000006,42.94,0.465,cleaned
33.730000000000004,8.135,1.05,0.0245,3.5685000000000002,585.75,0.301,29.5,38.489999999999995,0.66,cleaned
30.744999999999997,8.18,1.43,0.0305,1.377,528.95,0.3055,47.976,39.260000000000005,0.53,cleaned
30.549999999999997,8.21,4.64,0.006,0.126,1457.0835,0.892,51.733,38.760000000000005,17.455,cleaned
31.355,8.25,2.24,0.017,2.7335000000000003,520.545,0.3835,47.14,40.765,1.055,cleaned
30.335,8.175,2.34,0.04,2.205,700.085,0.33,57.535,35.1,0.81,cleaned
33.335,8.274999999999999,0.95,0.24,1.69,1035.835,0.32,85.64500000000001,46.019999999999996,0.39999999999999997,cleaned
30.88,,0.47,0.02,0.78,479.0,0.345,41.07,37.08,0.9049999999999999,cleaned
32.26,8.065000000000001,1.86,0.0325,4.4125,778.6,0.2865,75.15,35.230000000000004,2.785,cleaned
28.435000000000002,8.08,3.01,0.0205,1.6675,812.42,0.44799999999999995,83.6905,39.065,3.2750000000000004,cleaned
