Project Code,Station ID,Sample ID,Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value,Units
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.945,0.9,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,98,SALINITY,,47,47,PSU
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.13,1.1,ug/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,9.36,9.4,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.028,0.028,mg/L
FLAB,FLAB15,FIU15175,4/23/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.47,1.5,ug/L
FLAB,FLAB15,FIU15176,5/8/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.14,2.1,ug/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,12,TURBIDITY,,0.475,0.5,NTU
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.4,5.4,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,7,Temperature,,26.7,26.7,Deg C
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.776,1.8,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,98,SALINITY,,55,55,PSU
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.65,1.6,ug/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.026,0.026,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.005,0,mg/L
FLAB,FLAB15,FIU15177,5/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,17.685,17.7,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.017,0.02,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,12,TURBIDITY,,0.25,0.2,NTU
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.15,6.15,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,7,Temperature,,30.9,30.9,Deg C
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.977,1,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,98,SALINITY,,46.6,46.6,PSU
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.99,1,ug/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,15.288,15.3,mg/L
FLAB,FLAB15,FIU15178,6/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.023,0.023,mg/L
FLAB,FLAB15,FIU15179,6/18/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.28,1.3,ug/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.016,0.02,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,12,TURBIDITY,,0.155,0.2,NTU
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.5,5.5,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,7,Temperature,,31.6,31.6,Deg C
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,8.684,8.7,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.671,0.7,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.74,0.7,ug/L
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,98,SALINITY,,38.4,38.4,PSU
FLAB,FLAB15,FIU15180,7/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.02,0.02,mg/L
FLAB,FLAB15,FIU15181,7/16/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.96,1,ug/L
FLAB,FLAB15,FIU15182,7/30/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.19,1.2,ug/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.052,1.1,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.015,0.02,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,12,TURBIDITY,,0.525,0.5,NTU
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.35,5.35,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,7,Temperature,,29.5,29.5,Deg C
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,19.458,19.5,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,98,SALINITY,,36.8,36.8,PSU
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,78,NITRATE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.92,0.9,ug/L
FLAB,FLAB15,FIU15183,8/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.026,0.026,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.99,1,ug/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,12,TURBIDITY,,1.275,1.3,NTU
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.7,3.7,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,7,Temperature,,29.5,29.5,Deg C
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.024,0.02,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.385,1.4,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.046,0.046,mg/L
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,98,SALINITY,,35.4,35.4,PSU
FLAB,FLAB15,FIU15184,9/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,15.983,16,mg/L
FLAB,FLAB15,FIU15185,9/18/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.29,1.3,ug/L
FLAB,FLAB15,FIU15186,10/9/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,7.58,7.6,ug/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,12,TURBIDITY,,6.675,6.7,NTU
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.025,0.02,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.689,1.7,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.087,0.087,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,5.83,5.8,ug/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,98,SALINITY,,35.1,35.1,PSU
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,18.617,18.6,mg/L
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,7,Temperature,,28.1,28.1,Deg C
FLAB,FLAB15,FIU15187,10/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.4,3.4,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,15.085,15.1,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,12,TURBIDITY,,0.625,0.6,NTU
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.34,1.3,ug/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.8,5.8,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,98,SALINITY,,34.3,34.3,PSU
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.168,0.17,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.02,0.02,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.701,0.7,mg/L
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,7,Temperature,,24.8,24.8,Deg C
FLAB,FLAB15,FIU15188,11/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15189,11/21/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.75,1.8,ug/L
FLAB,FLAB15,FIU15190,12/10/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,3.48,3.5,ug/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,12,TURBIDITY,,1.215,1.2,NTU
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.004,0.004,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,7.1,7.1,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.437,1.4,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,78,NITRATE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.022,0.022,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.068,0.07,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,98,SALINITY,,34.6,34.6,PSU
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.68,2.7,ug/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,19.463,19.5,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15191,12/15/1991,SAMP,G,SA,7,Temperature,,22.8,22.8,Deg C
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.84,0.8,ug/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.088,0.09,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,7,Temperature,,20.4,20.4,Deg C
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.6,5.6,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,98,SALINITY,,34.6,34.6,PSU
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,9.037,9,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.605,0.6,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.014,0.014,mg/L
FLAB,FLAB15,FIU15192,1/15/1992,SAMP,G,SA,12,TURBIDITY,,0.22,0.2,NTU
FLAB,FLAB15,FIU15193,1/23/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.09,1.1,ug/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.073,0.07,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.432,0.4,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,7,Temperature,,26.1,26.1,Deg C
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,4.3,4.3,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.017,0.017,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.56,0.6,ug/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,98,SALINITY,,34.8,34.8,PSU
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,6.848,6.8,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,12,TURBIDITY,,0.43,0.4,NTU
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15194,2/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15195,2/20/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.73,0.7,ug/L
FLAB,FLAB15,FIU15196,3/10/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.1,1.1,ug/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.626,0.6,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.03,0.03,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.85,0.8,ug/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.02,0.02,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,7,Temperature,,26.3,26.3,Deg C
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,98,SALINITY,,38.8,38.8,PSU
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.6,5.6,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,10.993,11,mg/L
FLAB,FLAB15,FIU15197,3/15/1992,SAMP,G,SA,12,TURBIDITY,,0.565,0.6,NTU
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,98,SALINITY,,41.5,41.5,PSU
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.08,0.08,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.826,0.8,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,7,Temperature,,18.4,18.4,Deg C
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.75,0.8,ug/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.8,5.8,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,13.715,13.7,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.019,0.019,mg/L
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,12,TURBIDITY,,2.72,2.7,NTU
FLAB,FLAB15,FIU15198,4/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15199,4/29/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.98,1,ug/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.2,5.2,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,7,Temperature,,25.7,25.7,Deg C
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.013,1,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.014,0.01,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,12,TURBIDITY,,0.52,0.5,NTU
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,12.2,12.2,mg/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,98,SALINITY,,45.6,45.6,PSU
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.79,0.8,ug/L
FLAB,FLAB15,FIU15200,5/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.021,0.021,mg/L
FLAB,FLAB15,FIU15201,5/20/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.02,1,ug/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.3,5.3,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,7,Temperature,,31.2,31.2,Deg C
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.506,0.5,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.038,0.04,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.014,0.014,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,12,TURBIDITY,,0.35,0.4,NTU
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,8.27,8.3,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,98,SALINITY,,26.3,26.3,PSU
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.88,0.9,ug/L
FLAB,FLAB15,FIU15202,6/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15203,7/1/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.14,1.1,ug/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,7,Temperature,,28.6,28.6,Deg C
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,2.385,2.4,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.08,0.08,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.077,0.077,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,30.903,30.9,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,98,SALINITY,,23.3,23.3,PSU
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,8.95,9,ug/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.6,3.6,mg/L
FLAB,FLAB15,FIU15204,7/15/1992,SAMP,G,SA,12,TURBIDITY,,8.605,8.6,NTU
FLAB,FLAB15,FIU15205,7/22/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,11.64,11.6,ug/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,7,Temperature,,30.8,30.8,Deg C
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.687,1.7,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.037,0.04,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.026,0.026,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.1,6.1,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,20.532,20.5,mg/L
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,98,SALINITY,,30.1,30.1,PSU
FLAB,FLAB15,FIU15206,8/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.8,0.8,ug/L
