Project Code,Station ID,Sample ID,Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value,Units
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,20.785,20.8,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,7,Temperature,,25.8,25.8,Deg C
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.5,5.5,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,12,TURBIDITY,,0.325,0.3,NTU
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.004,0.004,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.004,0,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.008,0.01,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,12,TURBIDITY,,0.315,0.3,NTU
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.4,6.4,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,7,Temperature,,30.7,30.7,Deg C
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,21.108,21.1,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,98,SALINITY,,50.6,50.6,PSU
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.97,2,ug/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.031,0.031,mg/L
FLAB,FLAB14,FIU14940,6/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.416,1.4,mg/L
FLAB,FLAB14,FIU14941,6/18/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.56,2.6,ug/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.008,0.01,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,12,TURBIDITY,,0.32,0.3,NTU
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.75,3.75,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,7,Temperature,,30.9,30.9,Deg C
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.318,1.3,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,98,SALINITY,,42.5,42.5,PSU
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1,1,ug/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,22.268,22.3,mg/L
FLAB,FLAB14,FIU14942,7/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.038,0.038,mg/L
FLAB,FLAB14,FIU14943,7/16/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.3,1.3,ug/L
FLAB,FLAB14,FIU14944,7/30/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.75,2.8,ug/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.003,0,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,12,TURBIDITY,,0.9,0.9,NTU
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.3,3.3,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.926,0.9,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,42.873,42.9,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,98,SALINITY,,40.4,40.4,PSU
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.12,2.1,ug/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.053,0.053,mg/L
FLAB,FLAB14,FIU14945,8/15/1991,SAMP,G,SA,7,Temperature,,28.8,28.8,Deg C
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.021,0.02,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,19,NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.006,0.006,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,12,TURBIDITY,,7.69,7.7,NTU
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.2,3.2,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,7,Temperature,,28.4,28.4,Deg C
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,2.909,2.9,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,98,SALINITY,,31.5,31.5,PSU
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,78,NITRATE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.69,1.7,ug/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,33.08,33.1,mg/L
FLAB,FLAB14,FIU14946,9/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.12,0.12,mg/L
FLAB,FLAB14,FIU14947,9/18/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.2,2.2,ug/L
FLAB,FLAB14,FIU14948,10/9/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,8.87,8.9,ug/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,19,NITRITE-N,,0.004,0.004,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.011,0.011,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,12,TURBIDITY,,11.575,11.6,NTU
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,3.9,3.9,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,7,Temperature,,26.9,26.9,Deg C
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,2.539,2.5,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,98,SALINITY,,31.3,31.3,PSU
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,78,NITRATE-N,,0.007,0.007,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,6.82,6.8,ug/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.13,0.13,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.076,0.08,mg/L
FLAB,FLAB14,FIU14949,10/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,31.38,31.4,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.017,0.02,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.004,0.004,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,12,TURBIDITY,,7.075,7.1,NTU
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,4.3,4.3,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,7,Temperature,,24.6,24.6,Deg C
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.169,1.2,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,98,SALINITY,,34.1,34.1,PSU
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.68,2.7,ug/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,25.155,25.2,mg/L
FLAB,FLAB14,FIU14950,11/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.082,0.082,mg/L
FLAB,FLAB14,FIU14951,11/21/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,3.49,3.5,ug/L
FLAB,FLAB14,FIU14952,12/10/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.54,1.5,ug/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,19,NITRITE-N,,0.005,0.005,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.012,0.012,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,12,TURBIDITY,,0.455,0.5,NTU
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,6,6,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,7,Temperature,,22.7,22.7,Deg C
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.138,1.1,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,98,SALINITY,,34.4,34.4,PSU
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,78,NITRATE-N,,0.007,0.007,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.18,1.2,ug/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.02,0.02,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.115,0.12,mg/L
FLAB,FLAB14,FIU14953,12/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,18.385,18.4,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,12,TURBIDITY,,0.705,0.7,NTU
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.5,5.5,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,12.1,12.1,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,7,Temperature,,20.9,20.9,Deg C
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.54,1.5,ug/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.018,0.018,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.171,0.17,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.699,0.7,mg/L
FLAB,FLAB14,FIU14954,1/15/1992,SAMP,G,SA,98,SALINITY,,36.6,36.6,PSU
FLAB,FLAB14,FIU14955,1/23/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,2,2,ug/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.005,0.005,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.41,0.41,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.383,0.4,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,7,Temperature,,25.8,25.8,Deg C
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.1,5.1,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.021,0.021,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.88,0.9,ug/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,78,NITRATE-N,,0.004,0.004,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,98,SALINITY,,36.1,36.1,PSU
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,9.58,9.6,mg/L
FLAB,FLAB14,FIU14956,2/15/1992,SAMP,G,SA,12,TURBIDITY,,0.625,0.6,NTU
FLAB,FLAB14,FIU14957,2/20/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.15,1.2,ug/L
FLAB,FLAB14,FIU14958,3/10/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,2.42,2.4,ug/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.86,1.9,ug/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,7,Temperature,,25.6,25.6,Deg C
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.052,0.05,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,16.043,16,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,12,TURBIDITY,,1.445,1.4,NTU
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.031,0.031,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.021,1,mg/L
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,98,SALINITY,,41.5,41.5,PSU
FLAB,FLAB14,FIU14959,3/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,6,6,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.1,6.1,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,7,Temperature,,16.2,16.2,Deg C
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.725,0.7,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.021,0.02,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,12,TURBIDITY,,4.94,4.9,NTU
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,13.905,13.9,mg/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,98,SALINITY,,35.8,35.8,PSU
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.75,0.8,ug/L
FLAB,FLAB14,FIU14960,4/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.018,0.018,mg/L
FLAB,FLAB14,FIU14961,4/29/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.98,1,ug/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,4.35,4.35,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,7,Temperature,,25.2,25.2,Deg C
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.219,1.2,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.012,0.01,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.028,0.028,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,12,TURBIDITY,,0.925,0.9,NTU
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,18.005,18,mg/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,98,SALINITY,,53.6,53.6,PSU
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.31,1.3,ug/L
FLAB,FLAB14,FIU14962,5/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14963,5/20/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.7,1.7,ug/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,7.2,7.2,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,7,Temperature,,30.6,30.6,Deg C
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.745,0.7,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.09,0.09,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,19,NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.026,0.026,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,12,TURBIDITY,,1.005,1,NTU
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,19.04,19,mg/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,98,SALINITY,,13.7,13.7,PSU
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.94,0.9,ug/L
FLAB,FLAB14,FIU14964,6/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14965,7/1/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.23,1.2,ug/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,7,Temperature,,28.2,28.2,Deg C
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.236,1.2,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.09,0.09,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.026,0.026,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,22.675,22.7,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,98,SALINITY,,23.8,23.8,PSU
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.25,1.2,ug/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.8,5.8,mg/L
FLAB,FLAB14,FIU14966,7/15/1992,SAMP,G,SA,12,TURBIDITY,,1.77,1.8,NTU
FLAB,FLAB14,FIU14967,7/22/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.63,1.6,ug/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,8,DISSOLVED OXYGEN,,7.3,7.3,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,7,Temperature,,29.5,29.5,Deg C
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,3.3,3.3,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.037,0.04,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,19,NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.067,0.067,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,12,TURBIDITY,,9.52,9.5,NTU
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,40.332,40.3,mg/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,98,SALINITY,,24,24,PSU
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,0.8,0.8,ug/L
FLAB,FLAB14,FIU14968,8/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14969,8/19/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,1.04,1,ug/L
FLAB,FLAB14,FIU14970,9/9/1992,SAMP,G,SA,61,CHLOROPHYLL-A,,7.19,7.2,ug/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,7,Temperature,,27.2,27.2,Deg C
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,4.355,4.4,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,20,AMMONIA-N,,0.045,0.04,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,19,NITRITE-N,,0.005,0.005,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.009,0.009,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.097,0.097,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,26.976,27,mg/L
FLAB,FLAB14,FIU14971,9/15/1992,SAMP,G,SA,98,SALINITY,,23.6,23.6,PSU
