Site_code,Sampling_event,Rep,Sample_code,Collected,Water_amount,Processed,Chl
TB1,9-23,2,TB1_9-23_2,9/27/2023,56,12/1/2023,17.04
TB2,9-23,2,TB2_9-23_2,9/27/2023,53,12/1/2023,1.3
GB2,9-23,2,GB2_9-23_2,9/27/2023,57,12/1/2023,8.12
RB,9-23,2,RB_9-23_2,9/27/2023,56,12/1/2023,3.31
TSM1,9-23,1,TSM1_9-23_1,9/30/2023,53,NA,NA
TSM3,9-23,1,TSM3_9-23_1,9/30/2023,52,NA,NA
TSM4,9-23,1,TSM4_9-23_1,9/30/2023,53,NA,NA
SBT1,9-23,1,SBT1_9-23_1,9/30/2023,56,11/6/2024,17.71
TSM1,9-23,2,TSM1_9-23_2,9/30/2023,56,NA,NA
TSM3,9-23,2,TSM3_9-23_2,9/30/2023,54,NA,NA
TSM4,9-23,2,TSM4_9-23_2,9/30/2023,57,NA,NA
SBT1,9-23,2,SBT1_9-23_2,9/30/2023,53,11/6/2024,14.25
SBT2,9-23,1,SBT2_9-23_1,10/5/2023,55,11/6/2024,1.36
WB1,9-23,1,WB1_9-23_1,10/5/2023,53,11/6/2024,4.09
WB2,9-23,1,WB2_9-23_1,10/5/2023,52,11/6/2024,3.4
TKB,9-23,1,TKB_9-23_1,10/5/2023,56,11/6/2024,0.66
JB,9-23,1,JB_9-23_1,10/5/2023,56,11/6/2024,0.86
CC,9-23,1,CC_9-23_1,10/5/2023,55,11/6/2024,3.08
SBT2,9-23,2,SBT2_9-23_2,10/5/2023,54,11/6/2024,1.25
WB1,9-23,2,WB1_9-23_2,10/5/2023,55,11/6/2024,5.04
WB2,9-23,2,WB2_9-23_2,10/5/2023,52,11/6/2024,3.13
TKB,9-23,2,TKB_9-23_2,10/5/2023,53,11/6/2024,0.63
JB,9-23,2,JB_9-23_2,10/5/2023,54,11/6/2024,0.78
CC,9-23,2,CC_9-23_2,10/5/2023,56,11/6/2024,2.69
TSM3,1123E,1,TSM3_1123E_1,11/28/2023,54,NA,NA
TSM4,1123E,1,TSM4_1123E_1,11/28/2023,55,NA,NA
SBT1,1123E,1,SBT1_1123E_1,11/28/2023,53,11/6/2024,16.59
ACS1,1123E,1,ACS1_1123E_1,11/28/2023,53,11/6/2024,13.29
DC1,1123E,1,DC1_1123E_1,11/28/2023,54,,
DCM1,1123E,1,DCM1_1123E_1,11/28/2023,55,,
GB1,1123E,1,GB1_1123E_1,11/28/2023,55,11/6/2024,19.83
TSM3,1123E,2,TSM3_1123E_2,11/28/2023,56,NA,NA
TSM4,1123E,2,TSM4_1123E_2,11/28/2023,53,NA,NA
SBT1,1123E,2,SBT1_1123E_2,11/28/2023,53,11/6/2024,16.47
ACS1,1123E,2,ACS1_1123E_2,11/28/2023,55,11/6/2024,13.85
DC1,1123E,2,DC1_1123E_2,11/28/2023,56,,
DCM1,1123E,2,DCM1_1123E_2,11/28/2023,54,,
GB1,1123E,2,GB1_1123E_2,11/28/2023,57,11/6/2024,27.93
P37,11_23,1,P37_11_23_1,11/29/2023,54,NA,NA
P37,11_23,2,P37_11_23_2,11/29/2023,52,NA,NA
NCL,11_23,1,NCL_11_23_1,11/29/2023,55,NA,NA
NCL,11_23,2,NCL_11_23_2,11/29/2023,53,NA,NA
CP,11_23,1,CP_11_23_1,11/29/2023,54,NA,NA
CP,11_23,2,CP_11_23_2,11/29/2023,53,NA,NA
EP146,11_23,1,EP146_11_23_1,11/29/2023,55,NA,NA
EP146,11_23,2,EP146_11_23_2,11/29/2023,53,NA,NA
OL,11_23,1,OL_11_23_1,11/29/2023,54,NA,NA
OL,11_23,2,OL_11_23_2,11/29/2023,54,NA,NA
TSH,11_23,1,TSH_11_23_1,11/29/2023,54,NA,NA
TSH,11_23,2,TSH_11_23_2,11/29/2023,53,NA,NA
R127,11_23,1,R127_11_23_1,11/29/2023,52,NA,NA
R127,11_23,2,R127_11_23_2,11/29/2023,51,NA,NA
SBT2,1123E,1,SBT2_1123E_1,11/30/2023,51,11/6/2024,3.31
MCS1,1123E,1,MCS1_1123E_1,11/30/2023,51,11/6/2024,7.59
TB1,1123E,1,TB1_1123E_1,11/30/2023,55,11/6/2024,14.23
TB2,1123E,1,TB2_1123E_1,11/30/2023,54,11/6/2024,1.9
GB2,1123E,1,GB2_1123E_1,11/30/2023,52,11/6/2024,21.26
RB,1123E,1,RB_1123E_1,11/30/2023,52,11/6/2024,19.61
WB1,1123E,1,WB1_1123E_1,11/30/2023,53,11/6/2024,1.06
TKB,1123E,1,TKB_1123E_1,11/30/2023,58,11/6/2024,0.59
JB,1123E,1,JB_1123E_1,11/30/2023,53,11/6/2024,0.39
SBT2,1123E,2,SBT2_1123E_2,11/30/2023,51,11/6/2024,2.42
MCS1,1123E,2,MCS1_1123E_2,11/30/2023,55,11/6/2024,6.85
TB1,1123E,2,TB1_1123E_2,11/30/2023,52,11/6/2024,13.95
TB2,1123E,2,TB2_1123E_2,11/30/2023,56,11/6/2024,1.47
GB2,1123E,2,GB2_1123E_2,11/30/2023,52,11/6/2024,16.95
RB,1123E,2,RB_1123E_2,11/30/2023,55,11/6/2024,19.95
WB1,1123E,2,WB1_1123E_2,11/30/2023,56,11/6/2024,0.86
TKB,1123E,2,TKB_1123E_2,11/30/2023,54,11/6/2024,0.56
JB,1123E,2,JB_1123E_2,11/30/2023,57,11/6/2024,0.41
SBT2,1-24,1,SBT2_1-24_1,1/6/2024,54,,
GB2,1-24,1,GB2_1-24_1,1/6/2024,53,,
RB,1-24,1,RB_1-24_1,1/6/2024,57,,
TKB,1-24,1,TKB_1-24_1,1/6/2024,57,,
JB,1-24,1,JB_1-24_1,1/6/2024,53,,
CC,1-24,1,CC_1-24_1,1/6/2024,55,,
SBT2,1-24,2,SBT2_1-24_2,1/6/2024,53,,
GB2,1-24,2,GB2_1-24_2,1/6/2024,55,,
RB,1-24,2,RB_1-24_2,1/6/2024,56,,
TKB,1-24,2,TKB_1-24_2,1/6/2024,52,,
JB,1-24,2,JB_1-24_2,1/6/2024,56,,
CC,1-24,2,CC_1-24_2,1/6/2024,54,,
MCS1,1-24,1,MCS1_1-24_1,1/7/2024,56,,
MCS2,1-24,1,MCS2_1-24_1,1/7/2024,55,,
MCS3,1-24,1,MCS3_1-24_1,1/7/2024,54,,
MCS4,1-24,1,MCS4_1-24_1,1/7/2024,54,,
TBHM,1-24,1,TBHM_1-24_1,1/7/2024,51,,
TBC,1-24,1,TBC_1-24_1,1/7/2024,54,,
TBCM,1-24,1,TBCM_1-24_1,1/7/2024,53,,
TB1,1-24,1,TB1_1-24_1,1/7/2024,53,,
TB2,1-24,1,TB2_1-24_1,1/7/2024,53,,
WB1,1-24,1,WB1_1-24_1,1/7/2024,51,,
WB2,1-24,1,WB2_1-24_1,1/7/2024,55,,
MCS1,1-24,2,MCS1_1-24_2,1/7/2024,55,,
MCS2,1-24,2,MCS2_1-24_2,1/7/2024,54,,
MCS3,1-24,2,MCS3_1-24_2,1/7/2024,51,,
MCS4,1-24,2,MCS4_1-24_2,1/7/2024,51,,
TBHM,1-24,2,TBHM_1-24_2,1/7/2024,53,,
TBC,1-24,2,TBC_1-24_2,1/7/2024,53,,
TBCM,1-24,2,TBCM_1-24_2,1/7/2024,50,,
TB1,1-24,2,TB1_1-24_2,1/7/2024,55,,
TB2,1-24,2,TB2_1-24_2,1/7/2024,52,,
WB1,1-24,2,WB1_1-24_2,1/7/2024,53,,
WB2,1-24,2,WB2_1-24_2,1/7/2024,53,,
ACS1,1-24,1,ACS1_1-24_1,1/11/2024,25,,
ACS2,1-24,1,ACS2_1-24_1,1/11/2024,25,,
ACS3,1-24,1,ACS3_1-24_1,1/11/2024,25,,
ACS4,1-24,1,ACS4_1-24_1,1/11/2024,51,,
ACS5,1-24,1,ACS5_1-24_1,1/11/2024,51,,
GBHM,1-24,1,GBHM_1-24_1,1/11/2024,51,,
DC1,1-24,1,DC1_1-24_1,1/11/2024,52,,
DCM1,1-24,1,DCM1_1-24_1,1/11/2024,52,,
DC2,1-24,1,DC2_1-24_1,1/11/2024,51,,
DCM2,1-24,1,DCM2_1-24_1,1/11/2024,52,,
GB1,1-24,1,GB1_1-24_1,1/11/2024,51,11/6/2024,15.17
ACS1,1-24,2,ACS1_1-24_2,1/11/2024,25,,
ACS2,1-24,2,ACS2_1-24_2,1/11/2024,NA,11/6/2024,
ACS3,1-24,2,ACS3_1-24_2,1/11/2024,NA,11/6/2024,
ACS4,1-24,2,ACS4_1-24_2,1/11/2024,51,,
ACS5,1-24,2,ACS5_1-24_2,1/11/2024,30,,
GBHM,1-24,2,GBHM_1-24_2,1/11/2024,50,,
DC1,1-24,2,DC1_1-24_2,1/11/2024,52,,
DCM1,1-24,2,DCM1_1-24_2,1/11/2024,53,,
DC2,1-24,2,DC2_1-24_2,1/11/2024,51,,
DCM2,1-24,2,DCM2_1-24_2,1/11/2024,51,,
GB1,1-24,2,GB1_1-24_2,1/11/2024,52,11/6/2024,16.8
TSM1,1-24,1,TSM1_1-24_1,2/2/2024,NA,NA,NA
TSM3,1-24,1,TSM3_1-24_1,2/2/2024,NA,NA,NA
TSM4,1-24,1,TSM4_1-24_1,2/2/2024,NA,NA,NA
SBT1,1-24,1,SBT1_1-24_1,2/2/2024,52,11/6/2024,134.87
TSM1,1-24,2,TSM1_1-24_2,2/2/2024,NA,NA,NA
TSM3,1-24,2,TSM3_1-24_2,2/2/2024,NA,NA,NA
TSM4,1-24,2,TSM4_1-24_2,2/2/2024,NA,NA,NA
SBT1,1-24,2,SBT1_1-24_2,2/2/2024,54,11/6/2024,138.95
P37,3-24,1,P37_3-24_1,3/7/2024,NA,NA,NA
NCL,3-24,1,NCL_3-24_1,3/7/2024,NA,NA,NA
CP,3-24,1,CP_3-24_1,3/7/2024,NA,NA,NA
EP146,3-24,1,EP146_3-24_1,3/7/2024,NA,NA,NA
OL,3-24,1,OL_3-24_1,3/7/2024,NA,NA,NA
TSH,3-24,1,TSH_3-24_1,3/7/2024,NA,NA,NA
R127,3-24,1,R127_3-24_1,3/7/2024,NA,NA,NA
P37,3-24,2,P37_3-24_2,3/7/2024,NA,NA,NA
NCL,3-24,2,NCL_3-24_2,3/7/2024,NA,NA,NA
CP,3-24,2,CP_3-24_2,3/7/2024,NA,NA,NA
EP146,3-24,2,EP146_3-24_2,3/7/2024,NA,NA,NA
OL,3-24,2,OL_3-24_2,3/7/2024,NA,NA,NA
TSH,3-24,2,TSH_3-24_2,3/7/2024,NA,NA,NA
R127,3-24,2,R127_3-24_2,3/7/2024,NA,NA,NA
MCS1,4-24,1,MCS1_4-24_1,4/8/2024,50,11/6/2024,8.17
MCS2,4-24,1,MCS2_4-24_1,4/8/2024,50,11/6/2024,26.73
MCS3,4-24,1,MCS3_4-24_1,4/8/2024,50,11/6/2024,18.15
MCS4,4-24,1,MCS4_4-24_1,4/8/2024,48,11/6/2024,22.51
TBHM,4-24,1,TBHM_4-24_1,4/8/2024,28,11/6/2024,13.47
TBC,4-24,1,TBC_4-24_1,4/8/2024,50,11/6/2024,16.77
TBCM,4-24,1,TBCM_4-24_1,4/8/2024,50,,
TB1,4-24,1,TB1_4-24_1,4/8/2024,52,11/6/2024,14.74
TB2,4-24,1,TB2_4-24_1,4/8/2024,50,11/6/2024,1.64
MCS1,4-24,2,MCS1_4-24_2,4/8/2024,50,11/6/2024,17.52
MCS2,4-24,2,MCS2_4-24_2,4/8/2024,50,11/6/2024,26.89
MCS3,4-24,2,MCS3_4-24_2,4/8/2024,50,11/6/2024,18.33
MCS4,4-24,2,MCS4_4-24_2,4/8/2024,50,11/6/2024,25.22
TBHM,4-24,2,TBHM_4-24_2,4/8/2024,22,11/6/2024,15.24
TBC,4-24,2,TBC_4-24_2,4/8/2024,53,11/6/2024,19.06
TBCM,4-24,2,TBCM_4-24_2,4/8/2024,52,,
TB1,4-24,2,TB1_4-24_2,4/8/2024,50,11/6/2024,16.18
TB2,4-24,2,TB2_4-24_2,4/8/2024,50,11/6/2024,1.66
TSM1,4-24,1,TSM1_4-24_1,4/9/2024,NA,NA,NA
TSM3,4-24,1,TSM3_4-24_1,4/9/2024,NA,NA,NA
TSM4,4-24,1,TSM4_4-24_1,4/9/2024,NA,NA,NA
SBT1,4-24,1,SBT1_4-24_1,4/9/2024,51,,
TSM1,4-24,2,TSM1_4-24_2,4/9/2024,NA,NA,NA
TSM3,4-24,2,TSM3_4-24_2,4/9/2024,NA,NA,NA
TSM4,4-24,2,TSM4_4-24_2,4/9/2024,NA,NA,NA
SBT1,4-24,2,SBT1_4-24_2,4/9/2024,52,,
ACS1,4-24,1,ACS1_4-24_1,4/10/2024,5,11/6/2024,28.1
ACS2,4-24,1,ACS2_4-24_1,4/10/2024,20,11/6/2024,28.52
30.97,4-24,1,30.97_4-24_1,4/10/2024,17,11/6/2024,30.97
ACS4,4-24,1,ACS4_4-24_1,4/10/2024,20,11/6/2024,51.02
ACS5,4-24,1,ACS5_4-24_1,4/10/2024,30,11/6/2024,33.15
GBHM,4-24,1,GBHM_4-24_1,4/10/2024,NA,11/6/2024,
DC1,4-24,1,DC1_4-24_1,4/10/2024,28,11/6/2024,54.16
DCM1,4-24,1,DCM1_4-24_1,4/10/2024,48,11/6/2024,25.69
DC2,4-24,1,DC2_4-24_1,4/10/2024,50,11/6/2024,37.78
DCM2,4-24,1,DCM2_4-24_1,4/10/2024,NA,11/6/2024,
GB1,4-24,1,GB1_4-24_1,4/10/2024,51,,
ACS1,4-24,2,ACS1_4-24_2,4/10/2024,11,11/6/2024,25.49
ACS2,4-24,2,ACS2_4-24_2,4/10/2024,NA,,
ACS3,4-24,2,ACS3_4-24_2,4/10/2024,20,11/6/2024,29.72
ACS4,4-24,2,ACS4_4-24_2,4/10/2024,20,11/6/2024,60.02
ACS5,4-24,2,ACS5_4-24_2,4/10/2024,24,11/6/2024,46.73
GBHM,4-24,2,GBHM_4-24_2,4/10/2024,NA,,
DC1,4-24,2,DC1_4-24_2,4/10/2024,28,11/6/2024,43.07
DCM1,4-24,2,DCM1_4-24_2,4/10/2024,50,11/6/2024,30.69
DC2,4-24,2,DC2_4-24_2,4/10/2024,52,11/6/2024,36.63
DCM2,4-24,2,DCM2_4-24_2,4/10/2024,NA,,
GB1,4-24,2,GB1_4-24_2,4/10/2024,50,,
SBT2,4-24,1,SBT2_4-24_1,4/11/2024,52,11/6/2024,14.9
GB2,4-24,1,GB2_4-24_1,4/11/2024,50,11/6/2024,5.81
RB,4-24,1,RB_4-24_1,4/11/2024,50,11/6/2024,0.82
WB1,4-24,1,WB1_4-24_1,4/11/2024,52,11/6/2024,0.63
WB2,4-24,1,WB2_4-24_1,4/11/2024,51,11/6/2024,0.83
TKB,4-24,1,TKB_4-24_1,4/11/2024,51,11/6/2024,0.97
JB,4-24,1,JB_4-24_1,4/11/2024,50,11/6/2024,0.42
CC,4-24,1,CC_4-24_1,4/11/2024,50,11/6/2024,7.8
SBT2,4-24,2,SBT2_4-24_2,4/11/2024,50,11/6/2024,13.97
GB2,4-24,2,GB2_4-24_2,4/11/2024,50,11/6/2024,4.6
RB,4-24,2,RB_4-24_2,4/11/2024,50,11/6/2024,0.69
WB1,4-24,2,WB1_4-24_2,4/11/2024,51,11/6/2024,1.38
WB2,4-24,2,WB2_4-24_2,4/11/2024,51,11/6/2024,0.75
TKB,4-24,2,TKB_4-24_2,4/11/2024,50,11/6/2024,0.76
JB,4-24,2,JB_4-24_2,4/11/2024,50,11/6/2024,0.11
CC,4-24,2,CC_4-24_2,4/11/2024,51,11/6/2024,5.03
P37,7-24,1,P37_7-24_1,7/3/2024,NA,NA,NA
NCL,7-24,1,NCL_7-24_1,7/3/2024,NA,NA,NA
CP,7-24,1,CP_7-24_1,7/3/2024,NA,NA,NA
EP146,7-24,1,EP146_7-24_1,7/3/2024,NA,NA,NA
OL,7-24,1,OL_7-24_1,7/3/2024,NA,NA,NA
TSH,7-24,1,TSH_7-24_1,7/3/2024,NA,NA,NA
R127,7-24,1,R127_7-24_1,7/3/2024,NA,NA,NA
P37,7-24,2,P37_7-24_2,7/3/2024,NA,NA,NA
NCL,7-24,2,NCL_7-24_2,7/3/2024,NA,NA,NA
CP,7-24,2,CP_7-24_2,7/3/2024,NA,NA,NA
EP146,7-24,2,EP146_7-24_2,7/3/2024,NA,NA,NA
OL,7-24,2,OL_7-24_2,7/3/2024,NA,NA,NA
TSH,7-24,2,TSH_7-24_2,7/3/2024,NA,NA,NA
R127,7-24,2,R127_7-24_2,7/3/2024,NA,NA,NA
ACS1,8-24,1,ACS1_8-24_1,,25,11/6/2024,77.17
ACS2,8-24,1,ACS2_8-24_1,,30,11/6/2024,8.39
ACS3,8-24,1,ACS3_8-24_1,,,11/6/2024,5.44
ACS4,8-24,1,ACS4_8-24_1,,43,,1.23
ACS5,8-24,1,ACS5_8-24_1,,50,11/6/2024,22.75
GBHM,8-24,1,GBHM_8-24_1,,,,
DC1,8-24,1,DC1_8-24_1,,52,11/6/2024,18.59
DCM1,8-24,1,DCM1_8-24_1,,,11/6/2024,16.67
DC2,8-24,1,DC2_8-24_1,,,11/6/2024,22.03
DCM2,8-24,1,DCM2_8-24_1,,,11/6/2024,56.58
GB1,8-24,1,GB1_8-24_1,,,11/6/2024,22.9
MCS1,8-24,1,MCS1_8-24_1,,,11/6/2024,9.43
MCS2,8-24,1,MCS2_8-24_1,,,11/6/2024,10.12
MCS3,8-24,1,MCS3_8-24_1,,,11/6/2024,13.7
MCS4,8-24,1,MCS4_8-24_1,,,11/6/2024,11.05
TBC,8-24,1,TBC_8-24_1,,,11/6/2024,5.5
TBHM,8-24,1,TBHM_8-24_1,,,11/6/2024,13.51
TBCM,8-24,1,TBCM_8-24_1,,,11/6/2024,8.16
TB1,8-24,1,TB1_8-24_1,,,11/6/2024,2.91
TB2,8-24,1,TB2_8-24_1,,,11/6/2024,7.6
GB2,8-24,1,GB2_8-24_1,,,11/6/2024,17.46
RB,8-24,1,RB_8-24_1,,,,
TSM1,8-24,1,TSM1_8-24_1,,,,
TSM3,8-24,1,TSM3_8-24_1,,,11/6/2024,9.62
TSM4,8-24,1,TSM4_8-24_1,,,11/6/2024,7.92
SBT1,8-24,1,SBT1_8-24_1,,,11/6/2024,15.61
SBT2,8-24,1,SBT2_8-24_1,,,11/6/2024,7.54
WB1,8-24,1,WB1_8-24_1,,,,
WB2,8-24,1,WB2_8-24_1,,,11/6/2024,1.79
TKB,8-24,1,TKB_8-24_1,,,11/6/2024,2.28
JB,8-24,1,JB_8-24_1,,,11/6/2024,1.31
CC,8-24,1,CC_8-24_1,,,11/6/2024,8.93
ACS1,8-24,2,ACS1_8-24_2,,25,11/6/2024,49.32
ACS2,8-24,2,ACS2_8-24_2,,29,,4.86
ACS3,8-24,2,ACS3_8-24_2,,,11/6/2024,38.42
ACS4,8-24,2,ACS4_8-24_2,,37,,1.83
ACS5,8-24,2,ACS5_8-24_2,,50,11/6/2024,22.37
GBHM,8-24,2,GBHM_8-24_2,,,,
DC1,8-24,2,DC1_8-24_2,,51,11/6/2024,27.11
DCM1,8-24,2,DCM1_8-24_2,,,11/6/2024,17.11
DC2,8-24,2,DC2_8-24_2,,,11/6/2024,23.52
DCM2,8-24,2,DCM2_8-24_2,,,11/6/2024,31.19
GB1,8-24,2,GB1_8-24_2,,,11/6/2024,22.9
MCS1,8-24,2,MCS1_8-24_2,,,11/6/2024,10.05
MCS2,8-24,2,MCS2_8-24_2,,,11/6/2024,9.88
MCS3,8-24,2,MCS3_8-24_2,,,11/6/2024,11.36
MCS4,8-24,2,MCS4_8-24_2,,,11/6/2024,12.88
TBC,8-24,2,TBC_8-24_2,,,11/6/2024,5.4
TBHM,8-24,2,TBHM_8-24_2,,,11/6/2024,24.49
TBCM,8-24,2,TBCM_8-24_2,,,11/6/2024,8.13
TB1,8-24,2,TB1_8-24_2,,,11/6/2024,6.58
TB2,8-24,2,TB2_8-24_2,,,11/6/2024,6.43
GB2,8-24,2,GB2_8-24_2,,,11/6/2024,14.2
RB,8-24,2,RB_8-24_2,,,,
TSM1,8-24,2,TSM1_8-24_2,,,,
TSM3,8-24,2,TSM3_8-24_2,,,11/6/2024,11.43
TSM4,8-24,2,TSM4_8-24_2,,,11/6/2024,8.54
SBT1,8-24,2,SBT1_8-24_2,,,11/6/2024,16.64
SBT2,8-24,2,SBT2_8-24_2,,,11/6/2024,6.93
WB1,8-24,2,WB1_8-24_2,,,11/6/2024,8.2
WB2,8-24,2,WB2_8-24_2,,,11/6/2024,1.87
TKB,8-24,2,TKB_8-24_2,,,11/6/2024,2.1
JB,8-24,2,JB_8-24_2,,,11/6/2024,0.84
CC,8-24,2,CC_8-24_2,,,11/6/2024,4.07
OL,7_24,1,OL_7_24_1,7/29/2024,54,11/6/2024,3.52
OL,7_24,2,OL_7_24_2,7/29/2024,54,11/6/2024,1.18
TSM3,8_24,1,TSM3_8_24_1,8/20/2024,54,11/6/2024,9.62
TSM4,8_24,1,TSM4_8_24_1,8/20/2024,55,11/6/2024,11.43
TSM3,8_24,2,TSM3_8_24_2,8/20/2024,56,11/6/2024,7.92
TSM4,8_24,2,TSM4_8_24_2,8/20/2024,53,11/6/2024,8.54
