Site_code,Sampling_event,Sample_code,Collected,Accounted For, Filtered,Decarb,Wrapped,Clean Filter Weight,Average Clean Filter Weight,Dried Filter Weight,Sample Weight,Total Weight after Trim,,C Total weight %,C Sample Amount,,N Total weight %,N Sample Amount,,S Total weight %,S Sample Amount,,C Section Weight,C Cut Filter Weight,C Filter Trim Piece,C Sample Weight,C Filter Weight,C Sample to Filter Ratio,C Vial Piece,C Sample Amount in Vial Piece,C Vial Filter Amount,C Weight After Decarb,C Weight Ratio After Decarb (same),C Total Weight to Tin,C approx Sample in Tin,,N Section Weight,N Cut Weight,N Filter Trim Piece,N Sample Weight,N Filter Weight,N Sample to Filter Ratio,N Total Weight to Tin,N apprx Sample in Tin,,S Section Weight,S Cut Weight,S Trim Piece,S Sample Weight,S Filter Weight,S Sample to Filter Ratio,S Total Weight to Tin,S apprx Sample in Tin,,Submitted_SIA,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments
DC1,9-23,DC1_9-23_G,9/26/23,y,10/3/24,,"C,N,S",132.6,,172.2,39.6,106.2,,27.40112994,10.21737049,,27.4952919,10.25248173,,45.10357815,16.81828338,,43.1,29.1,14,10.22,18.88,0.54,20.9,11.31,9.59,,0.54,1.4,0.76,,48.6,29.2,19.4,10.3,18.9,0.54,2.9,1.6,,83.1,47.9,35.2,16.8,31.1,0.54,8.9,4.8,,Y,-23.26,0.14,5.27,0.165612254,1, ,2.44,0.25,0.783,0.011082305,1.6, 
DC2,4-24,DC2_4-24_G,4/10/24,Y,9/4/24,,"C,N,S",128.3,,149.8,21.5,118.7,,26.36899747,4.776187411,,25.27379949,4.57781541,,48.35720303,8.758886817,,47.4,31.3,16.1,4.78,26.52,0.18,22.7,4.09,18.61,23.9,0.18,2.2,0.4,,44.7,30,14.7,4.6,25.4,0.18,4.1,0.7,,82.8,57.4,25.4,8.8,48.6,0.18,10.8,1.9,,Y,-25.63,0.14,10.99,0.178733743,0.8, ,3.52,,1.462,0.009007145,1.9, 
DC2,8-24,DC2_8-24_G,8/1/24,Y,,,"C,N,S",128.2,,151.8,23.6,97.3,,26.82425488,6.506191318,,26.20760534,6.356623701,,46.96813977,11.39206679,,39.3,26.1,13.2,6.51,19.59,0.33,20.1,6.67,13.43,19.3,0.33,3.5,1.16,,38,25.5,12.5,6.4,19.1,0.33,4.7,1.6,,74.8,45.7,29.1,11.4,34.3,0.33,18.1,6,,Y,-24.26,0.21,8.28,0.018505047,0.9, ,2.92,0.31,0.865,0.051202567,1.9, 
DC2,9-23,DC2_9-23_G,9/26/23,Y,10/3/24,,"C,N,S",,130.5010101,143.5,12.9989899,104.7,,27.69818529,3.438857983,,23.20916905,2.881525827,,49.09264565,6.095079322,,37.8,29,8.8,3.44,25.56,0.13,21.4,2.88,18.52,21.5,0.13,4.1,0.55,,36.1,24.3,11.8,2.9,21.4,0.13,6.6,0.9,,77.6,51.4,26.2,6.1,45.3,0.13,22,3,,Y,-25.43,0.15,12.42,0.032446256,0.9, ,2.67,0.31,1.744,0.063772589,1.5, 
DCM1,4-24,DCM1_4-24_G,4/10/24,Y,9/9/24,,"C,N,S",129.5,,174.4,44.9,99.4,,27.16297787,12.26979584,,26.45875252,11.95169002,,46.37826962,20.9495403,,36.9,27,9.9,12.27,14.73,0.83,17.5,14.58,2.92,18.3,0.83,6.1,5.08,,36.6,26.3,10.3,12,14.3,0.83,12.9,10.7,,70,46.1,23.9,20.9,25.2,0.83,35.2,29.3,,Y,-20.84,0.14,8.06,0.148149246,1, ,3.03,,0.957,0.017902308,1.2, 
DCM1,8-24,DCM1_8-24_G,8/1/24,Y,9/13/24,,"C,N,S",133.4,,174,40.6,109.4,,25.50274223,9.464454612,,23.40036563,8.684230755,,51.09689214,18.962832,,40.9,27.9,13,9.46,18.44,0.51,15.1,7.75,7.35,15.6,0.51,5.6,2.87,,37.9,25.6,12.3,8.7,16.9,0.51,8.9,4.6,,76.1,55.9,20.2,19,36.9,0.51,26.7,13.7,,Y,-22.33,0.15,11.05,0.029253697,1, ,3.2,,1.433,0.013674349,1.3, 
DCM2,1-24,DCM2_1-24_G,1/11/24,Y,,,"C,N,S",134,,145.9,11.9,130.1,,24.13528055,2.20760829,,22.98232129,2.102149296,,52.88239816,4.83705256,,42.2,31.4,10.8,2.21,29.19,0.08,22.4,1.69,20.71,25.9,0.08,2.1,0.16,,41.9,29.9,12,2.1,27.8,0.08,3.4,0.3,,93.9,68.8,25.1,4.8,64,0.08,11.9,0.9,,Y,-26.53,0.14,11.41,0.15043124,0.9, ,3.52,0.25,0.911,0.014097471,1.7, 
DCM2,8-24,DCM2_8-24_G,8/1/24,Y,,,"C,N,S",134.1,,176.7,42.6,119.7,,21.88805347,7.789733314,,23.30827068,8.295174025,,54.80367586,19.50406509,,41.7,26.2,15.5,7.79,18.41,0.42,22.7,9.6,13.1,24.6,0.42,2.5,1.06,,39.4,27.9,11.5,8.3,19.6,0.42,4.8,2,,82,65.6,16.4,19.5,46.1,0.42,15.2,6.4,,Y,-23.67,0.14,5.61,0.170477989,1, ,,,,,1.3,BQL_N<0.0144mg;0.0116 mg N
EP146,8-24,EP146_7-24_G,7/3/24,Y,,,"C,N,S",134.4,,162.3,27.9,115.3,,24.54466609,5.939255714,,25.58542931,6.191096946,,49.8699046,12.06739235,,39.6,28.3,11.3,5.94,22.36,0.27,19.6,5.21,14.39,25.2,0.27,4.3,1.14,,41.8,29.5,12.3,6.2,23.3,0.27,5.7,1.5,,72.8,57.5,15.3,12.1,45.4,0.27,20.3,5.4,,Y,-28.38,0.14,3.96,0.215264655,0.9, ,3.72,0.25,0.491,0.01626474,1.8, 
EP146,9-23,EP146_9-23_G,9/15/23,Y,9/4/24,,"C,N,S",128.9,,155.2,26.3,124.3,,28.80128721,6.093916763,,27.43362832,5.804540827,,43.76508447,9.260029941,,43.9,35.8,8.1,6.09,29.71,0.21,17.6,3.61,13.99,20.8,0.21,4.1,0.84,,40.5,34.1,6.4,5.8,28.3,0.21,7.3,1.5,,76.2,54.4,21.8,9.3,45.1,0.21,23,4.7,,Y,-29.33,0.14,6.49,0.255134702,0.9,,,,,,1.9,BQL_N<0.008mg;0.0071 mg N
GB1,11-24,GB1_11-24_G,11/16/24,Y,,,"C,N,S",134.3,,151.2,16.9,107.5,,21.95348837,3.451292591,,32.74418605,5.147690644,,45.30232558,7.121946998,,33.3,23.6,9.7,3.45,20.15,0.17,20,3.43,16.57,25.3,0.17,4,0.69,,42,35.2,6.8,5.1,30.1,0.17,5.5,0.9,,74.6,48.7,25.9,7.1,41.6,0.17,21,3.6,,Y,-24.24,0.14,4.18,0.287320247,0.9,,3.79,0.51,0.494,0.011658222,1.7,Very Small N
GB1,1-24,GB1_1-24_G,1/11/24,Y,9/11/24,,"C,N,S",131.7,,169.7,38,108.4,,26.19926199,9.184243134,,24.1697417,8.47278768,,49.63099631,17.39831974,,45.2,28.4,16.8,9.18,19.22,0.48,17,8.13,8.87,17,0.48,3,1.43,,38.6,26.2,12.4,8.5,17.7,0.48,4.8,2.3,,76.3,53.8,22.5,17.4,36.4,0.48,15.3,7.3,,Y,-27.15,0.14,12.88,0.233866151,0.8,,,,,,1.2,BDL_N<0.003mg;0.0019 mg N
GB1,4-24,GB1_4-24_G,4/10/24,Y,9/5/24,,"C,N,S",127.6,,158,30.4,108.9,,27.7318641,7.741493742,,23.14049587,6.45978948,,49.12764004,13.7142356,,43.4,30.2,13.2,7.74,22.46,0.34,20.8,7.17,13.63,21.1,0.34,3.6,1.24,,36,25.2,10.8,6.5,18.7,0.34,4.9,1.7,,76.5,53.5,23,13.7,39.8,0.34,20.2,7,,Y,-23.83,0.22,5.12,0.059976862,0.7,Small C,,,,,1.1,BQL_N<0.008mg;0.0071 mg N
GB1,8-24,GB1_8-24_G,8/1/24,Y,,,"C,N,S",130.1,,169.3,39.2,96.6,,19.66873706,7.981516488,,31.7805383,12.89645033,,48.55072464,19.70174333,,36.1,19,17.1,7.98,11.02,0.72,16.3,11.81,4.49,16.2,0.72,2.5,1.81,,42.9,30.7,12.2,12.9,17.8,0.72,6.4,4.6,,71.4,46.9,24.5,19.7,27.2,0.72,17.3,12.5,,Y,-24.05,0.22,3.74,0.054447018,0.8,Small C,,,,,1.6,BQL_N<0.0144mg;0.0076 mg N
GB1,9-23,GB1_9-23_G,9/26/23,Y,10/3/24,,"C,N,S",,130.5010101,142.3,11.7989899,107.8,,26.90166976,2.944457604,,25.32467532,2.771851469,,47.77365492,5.228950573,,38,29,9,2.94,26.06,0.11,19.1,2.16,16.94,19.2,0.11,4.5,0.51,,37.7,27.3,10.4,2.8,24.5,0.11,8.5,1,,74,51.5,22.5,5.2,46.3,0.11,28.9,3.3,,Y,-25.7,0.14,9.23,0.017817003,0.9, ,3.39,0.31,1.091,0.048275828,1.9, 
GB2,1-24,GB2_1-24_G,1/6/24,Y,,,"C,N,S",132.4,130.5010101,144.7,12.3,100.5,,22.78606965,2.788742853,,24.27860697,2.971411599,,52.93532338,6.478651519,,34.1,22.9,11.2,2.79,20.11,0.14,20.7,2.87,17.83,,0.14,5.6,0.78,,36.3,24.4,11.9,3,21.4,0.14,11,1.5,,72.7,53.2,19.5,6.5,46.7,0.14,33.3,4.6,,Y,-24.86,0.2,4.41,0.169950693,1,Small C,3.73,0.25,0.459,0.010338362,1.9, 
GB2,4-24,GB2_4-24_G,4/11/24,Y,9/4/24,,"C,N,S",128.2,,165.8,37.6,104,,26.53846154,9.594674556,,22.40384615,8.099852071,,51.05769231,18.45931953,,37.2,27.6,9.6,9.59,18.01,0.53,16.5,8.79,7.71,17.8,0.53,7.4,3.94,,32.9,23.3,9.6,8.1,15.2,0.53,15,8,,75.8,53.1,22.7,18.5,34.6,0.53,37.2,19.8,,Y,-21.84,0.15,3.85,0.041306299,1, ,,,,,1.3,BQL_N<0.008mg;0.0067 mg N
GB2,8-24,GB2_8-24_G,8/1/24,Y,,,"C,N,S",132.4,,161,28.6,140.2,,26.46219686,5.398137163,,23.9657632,4.88887894,,49.57203994,10.11241328,,43.3,37.1,6.2,5.4,31.7,0.17,22.6,3.85,18.75,24.1,0.17,3.9,0.66,,43.1,33.6,9.5,4.9,28.7,0.17,8.2,1.4,,83,69.5,13.5,10.1,59.4,0.17,22.9,3.9,,Y,-20.54,0.2,4.21,0.170948474,1,Small C,,,,,1.8,BQL_N<0.0144mg;0.011 mg N
GB2,9-23,GB2_9-23_G,9/27/23,Y,12/15/23,,"C,N,S",,130.5010101,149.5,18.9989899,107.8,,26.15955473,4.61043707,,23.93320965,4.218059447,,49.90723562,8.795798381,,41.7,28.2,13.5,4.61,23.59,0.2,17.6,3.44,14.16,19.1,0.2,3.3,0.64,,42.3,25.8,16.5,4.2,21.6,0.2,4.9,1,,74.6,53.8,20.8,8.8,45,0.2,14.3,2.8,,Y,-23.35,0.14,3.18,0.028028267,0.8, ,,,,,2,BQL_N<0.0066mg;0.0063 mg N
GBHM,1-24,GBHM_1-24_G,1/11/24,Y,,,"C,N,S",135.1,,148.6,13.5,113,,26.37168142,3.150599107,,25.30973451,3.023729345,,48.31858407,5.772574203,,39.4,29.8,9.6,3.15,26.65,0.12,20.6,2.44,18.16,20.7,0.12,3.8,0.45,,38.8,28.6,10.2,3,25.6,0.12,7.5,0.9,,74.5,54.6,19.9,5.8,48.8,0.12,21.4,2.5,,Y,-27.3,0.14,13.16,0.201560359,0.9,,5.42,0.26,1.677,0.011859315,2, 
GBHM,9-23,GBHM_9-23_G,9/26/23,Y,10/3/24,,"C,N,S",,130.5010101,154.4,23.8989899,114.1,,23.48816827,4.919750187,,27.87028922,5.837614028,,48.64154251,10.18828863,,36.8,26.8,10,4.92,21.88,0.22,17,3.82,13.18,17.3,0.22,4.3,0.97,,39.9,31.8,8.1,5.8,26,0.22,6.9,1.6,,74.3,55.5,18.8,10.2,45.3,0.22,19.6,4.4,,Y,-26.35,0.14,8.48,0.021556205,0.8, ,3.82,0.3,1.154,0.01221014,1.3, 
JB,11-24,JB_11-24_G,11/16/24,Y,,,"C,N,S",133.4,,159.2,25.8,110.4,,27.7173913,6.477433837,,24.63768116,5.757718967,,47.64492754,11.13441241,,42.1,30.6,11.5,6.48,24.12,0.27,18.7,5.02,13.68,21.1,0.27,2.5,0.67,,38.1,27.2,10.9,5.8,21.4,0.27,4.7,1.3,,79.4,52.6,26.8,11.1,41.5,0.27,15.3,4.1,,Y,-22.99,0.14,5.56,0.31078193,0.8,,2.07,0.38,0.613,0.012926433,1.5,Small N
JB,1-24,JB_1-24_G,1/6/24,Y,9/10/24,,"C,N,S",128.7,,152,23.3,115.5,,25.19480519,5.082588407,,25.19480519,5.082588407,,49.61038961,10.00798336,,36.1,29.1,7,5.08,24.02,0.21,16.9,3.58,13.32,17.3,0.21,6.9,1.46,,37.6,29.1,8.5,5.1,24,0.21,13.5,2.9,,72.1,57.3,14.8,10,47.3,0.21,43.6,9.2,,Y,-27.99,0.14,1.32,0.249064661,0.9, ,3.27,0.25,0.553,0.016915282,1.7, 
