Site_code,Sampling_event,SIA/District,Sample_code,Collected,Dried,S2 ,Submitted_District,Powder,Decarb,Wrap,S34,Uc S,Wt%S,Uc S_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments
CC,4-24,SIA,CC_4-24_SIA,4/11/2024,8/13/2024,Y,,Y,Y,"C,N,S",,,,,3.400 ,Too Small S,,,,,2.700 ,BQL_N<0.0061mg;0.0047 mg N,-13.07,0.15 ,6.517 ,0.052467109,2.000 ,
CC,9-23,SIA,CC_9-23_SIA,10/5/2023,8/5/2024,Y,,Y,Y,"C,N,S",-0.99,0.73 ,0.490 ,0.036 ,3.500 ,,,,,,2.200 ,BDL_N<0.0035mg;0.0033 mg N ;estimated target 11.94mg,-22.22,0.17 ,6.147 ,0.04813889,2.500 ,
CP,4-24,SIA,CP_4-24_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",1.68 ,0.85 ,0.850 ,0.131 ,3.200 ,,3.87 ,0.40 ,1.422 ,0.023135396,2.900 ,,-26.16,0.23 ,42.325 ,0.243651095,2.000 ,Large N
CP,9-23,SIA,CP_9-23_SIA,9/15/2023,7/30/2024,Y,,Y,Y,"C,N,S",8.58 ,0.70 ,0.758 ,0.027 ,3.400 ,,3.47 ,0.40 ,2.393 ,0.011886706,2.300 ,,-25.79,0.35 ,53.506 ,0.634022063,2.600 ,Very Large C
DC1,4-24,SIA,DC1_4-24_SIA,4/10/2024,8/13/2024,Y,,Y,Y,"C,N,S",0.29 ,0.94 ,0.235 ,0.256 ,4.000 ,,3.58 ,0.37 ,0.490 ,0.013957796,2.200 ,,-18.68,,17.777 ,0.087957467,2.600 ,Very large C
DC1,9-23,SIA,DC1_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",-3.88,0.77 ,0.489 ,0.039 ,3.400 ,,2.29 ,0.40 ,0.743 ,0.004892241,3.000 ,,-19.43,0.17 ,25.825 ,0.262447302,2.500 ,
DC2,4-24,SIA,DC2_4-24_SIA,4/10/2024,8/13/2024,Y,,Y,Y,"C,N,S",,,,,3.500 ,Too Small S,,,,,2.000 ,BQL_N<0.0084mg;0.0039 mg N,-16.18,,6.724 ,0.056334063,2.000 ,
DC2,9-23,SIA,DC2_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",2.95 ,0.87 ,0.397 ,0.211 ,3.600 ,,,,,0.01528887,2.600 ,,-16.03,0.17 ,5.910 ,0.062394348,2.100 ,
DCM1,4-24,SIA,DCM1_4-24_SIA,4/10/2024,8/12/2024,Y,,Y,Y,"C,N,S",-1.95,1.00 ,0.525 ,0.156 ,3.500 ,,3.21 ,0.37 ,1.062 ,0.008989073,2.300 ,,-23.31,0.15 ,29.713 ,0.162137263,2.400 ,
DCM1,9-23,SIA,DCM1_9-23_SIA,9/26/2023,8/1/2024,Y,,Y,Y,"C,N,S",1.02 ,0.71 ,0.792 ,0.029 ,3.100 ,,2.54 ,0.40 ,1.035 ,0.006627119,2.200 ,,-22.09,0.26 ,31.873 ,0.345552223,2.600 ,Large C
DCM2,9-23,SIA,DCM2_9-23_SIA,9/26/2023,8/1/2024,Y,,Y,Y,"C,N,S",2.26 ,0.71 ,0.595 ,0.023 ,3.800 ,,3.63 ,0.40 ,0.832 ,0.007695932,2.100 ,,-22.32,0.17 ,22.078 ,0.216170701,2.600 ,
EP146,24-Apr,SIA,EP146_45771_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",2.38 ,0.70 ,0.376 ,0.041 ,3.800 ,,4.03 ,0.40 ,0.471 ,0.016589682,2.700 ,,-26.17,0.23 ,47.205 ,0.289086526,2.300 ,Large N
EP146,9-23,SIA,EP146_9-23_SIA,9/15/2023,7/30/2024,Y,,Y,Y,"C,N,S",,,,,,,2.41 ,0.40 ,1.117 ,0.006885247,2.100 ,,-28.52,0.36 ,52.995 ,0.61667137,2.300 ,Very Large C
GB1,4-24,SIA,GB1_4-24_SIA,4/10/2024,8/13/2024,Y,,Y,Y,"C,N,S",-1.28,0.98 ,0.435 ,0.216 ,3.400 ,,3.99 ,0.37 ,0.399 ,0.014175727,2.300 ,,-10.50,,17.956 ,0.079428861,2.000 ,
GB1,9-23,SIA,GB1_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",2.34 ,0.70 ,0.448 ,0.043 ,3.400 ,,,,,,2.200 ,BQL_N<0.0099mg;0.0085 mg N ;estimated target 4.68mg,-16.52,0.17 ,17.484 ,0.161456617,2.800 ,
GB2,4-24,SIA,GB2_4-24_SIA,4/11/2024,8/13/2024,Y,,Y,Y,"C,N,S",-3.06,2.06 ,0.202 ,0.371 ,3.200 ,very small S,3.13 ,0.37 ,0.402 ,0.011347794,2.700 ,,-7.56,0.15 ,13.843 ,0.051455449,2.200 ,
GB2,9-23,SIA,GB2_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-3.15,1.53 ,0.374 ,0.052 ,3.400 ,Very small S,,,,,2.300 ,BQL_N<0.0099mg;0.0098 mg N ;estimated target 4.24mg,-15.52,0.17 ,16.604 ,0.147788458,2.700 ,
GBHM,9-23,SIA,GBHM_9-23_SIA,9/26/2023,8/1/2024,Y,,Y,Y,"C,N,S",3.67 ,1.40 ,0.335 ,0.046 ,3.800 ,Very small S,,,,,2.600 ,BQL_N<0.0099mg;0.009 mg N ;estimated target 5.23mg,-20.27,0.15 ,11.060 ,0.040896812,2.700 ,
JB,4-24,SIA,JB_4-24_SIA,4/11/2024,8/16/2024,Y,,Y,Y,"C,N,S",-1.92,1.50 ,0.231 ,0.387 ,3.000 ,small S,1.50 ,0.37 ,0.444 ,0.01449139,2.200 ,,-14.42,,18.982 ,0.095030851,2.500 ,Very large C
JB,9-23,SIA,JB_9-23_SIA,10/5/2023,8/5/2024,Y,,Y,Y,"C,N,S",0.25 ,0.72 ,0.642 ,0.036 ,3.000 ,,,,,,2.100 ,BQL_N<0.0099mg;0.0083 mg N ;estimated target 4.58mg,-15.19,0.17 ,18.844 ,0.16189827,2.200 ,
MCS1,4-24,SIA,MCS1_4-24_SIA,4/8/2024,8/13/2024,Y,,Y,Y,"C,N,S",-7.67,0.84 ,0.755 ,0.027 ,3.400 ,,3.86 ,0.81 ,0.383 ,0.022090072,2.400 ,Very small N,-24.22,,13.338 ,0.056057854,2.300 ,
MCS1,9-23,SIA,MCS1_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-3.36,0.77 ,0.824 ,0.030 ,3.200 ,,2.68 ,0.40 ,0.479 ,0.007927371,2.400 ,,-24.60,0.18 ,8.818 ,0.059966855,3.000 ,
MCS2,4-24,SIA,MCS2_4-24_SIA,4/8/2024,8/19/2024,Y,,Y,Y,"C,N,S",-17.19,1.50 ,0.356 ,0.258 ,3.400 ,,5.38 ,0.37 ,0.305 ,0.014525871,2.400 ,,-22.55,,7.868 ,0.034801104,2.900 ,
MCS2,9-23,SIA,MCS2_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-9.66,0.89 ,0.402 ,0.046 ,3.500 ,,,,,,2.800 ,BQL_N<0.0099mg;0.0083 mg N ;estimated target 6.1mg,-22.38,0.17 ,9.864 ,0.063168717,2.100 ,
MCS3,4-24,SIA,MCS3_4-24_SIA,4/8/2024,8/16/2024,Y,,Y,Y,"C,N,S",,,,,3.400 ,Too Small S,,,,,2.300 ,BQL_N<0.0084mg;0.0063 mg N,-20.62,0.15 ,12.880 ,0.047065513,2.100 ,
MCS3,9-23,SIA,MCS3_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-6.98,1.66 ,0.380 ,0.051 ,3.400 ,Very small S,,,,,2.900 ,BQL_N<0.0099mg;0.0062 mg N ;estimated target 8.53mg,-20.78,0.17 ,13.214 ,0.10533531,2.700 ,
MCS4,4-24,SIA,MCS4_4-24_SIA,4/8/2024,8/12/2024,Y,,Y,Y,"C,N,S",-2.43,1.01 ,0.290 ,0.236 ,3.900 ,,3.42 ,0.37 ,0.459 ,0.010706786,2.700 ,,-17.08,0.15 ,24.253 ,0.115404562,2.100 ,
MCS4,9-23,SIA,MCS4_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-7.59,0.84 ,0.452 ,0.048 ,3.200 ,,,,,,2.200 ,BQL_N<0.0099mg;0.0089 mg N ;estimated target 4.48mg,-23.98,0.18 ,20.351 ,0.198768783,2.800 ,
NCL,24-Apr,SIA,NCL_45771_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",4.67 ,0.79 ,0.817 ,0.147 ,3.300 ,,3.49 ,0.40 ,1.010 ,0.013292455,2.800 ,,-24.22,0.15 ,43.365 ,0.251344018,2.000 ,
NCL,9-23,SIA,NCL_9-23_SIA,9/15/2023,7/25/2024,Y,,Y,Y,"C,N,S",5.19 ,0.69 ,0.403 ,0.034 ,4.000 ,,3.10 ,0.40 ,1.176 ,0.005316621,2.900 ,,-24.85,0.23 ,33.031 ,0.184052687,2.300 ,Large N
OL,24-Apr,SIA,OL_45771_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",,,,,3.300 ,Too small S,4.16 ,0.40 ,0.558 ,0.016893291,2.500 ,,-26.41,0.30 ,47.771 ,0.304589735,2.800 ,Very Large N
OL,9-23,SIA,OL_9-23_SIA,9/15/2023,7/30/2024,Y,,Y,Y,"C,N,S",4.12 ,0.70 ,0.464 ,0.047 ,3.200 ,,1.69 ,0.40 ,0.705 ,0.008250279,2.100 ,,-26.83,0.36 ,59.071 ,0.716869331,2.900 ,Very Large C
P37,24-Apr,SIA,P37_45771_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",,,,,3.200 ,Too Small S,3.25 ,0.40 ,0.742 ,0.013128439,2.600 ,,-26.90,0.23 ,41.145 ,0.244022815,2.300 ,Large N
P37,9-23,SIA,P37_9-23_SIA,9/15/2023,7/30/2024,Y,,Y,Y,"C,N,S",3.05 ,0.87 ,0.233 ,0.257 ,4.000 ,,2.10 ,0.37 ,0.994 ,0.008252734,2.500 ,,-28.45,0.36 ,48.362 ,0.541357624,2.000 ,Very Large C
R127,24-Apr,SIA,R127_45771_SIA,3/7/2024,8/26/2024,Y,,Y,Y,"C,N,S",2.95 ,0.82 ,0.707 ,0.085 ,3.900 ,,1.52 ,0.37 ,1.039 ,0.007766498,2.700 ,,,,50.543 ,0.336925014,2.400 ,Too large C
R127,9-23,SIA,R127_9-23_SIA,9/15/2023,7/30/2024,Y,,Y,Y,"C,N,S",4.80 ,0.70 ,0.453 ,0.045 ,3.300 ,,1.57 ,0.40 ,0.701 ,0.007268575,2.300 ,,-28.55,0.36 ,53.906 ,0.615237733,2.000 ,Very Large C
RB,4-24,SIA,RB_4-24_SIA,4/11/2024,8/16/2024,Y,,Y,Y,"C,N,S",,,,,3.400 ,Too Small S,2.39 ,0.41 ,0.411 ,0.024262911,2.200 ,,-14.57,0.15 ,16.674 ,0.078658765,3.000 ,
RB,9-23,SIA,RB_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",1.88 ,0.71 ,0.370 ,0.042 ,3.800 ,,2.09 ,0.40 ,0.501 ,0.006324186,2.800 ,,-15.39,0.17 ,9.625 ,0.061570804,2.200 ,
SBT1,4-24,SIA,SBT1_4-24_SIA,4/9/2024,8/19/2024,Y,,Y,Y,"C,N,S",-10.82,1.83 ,2.378 ,0.246 ,3.800 ,Very large S,3.39 ,0.37 ,1.480 ,0.010631092,2.100 ,,,,49.983 ,0.334977755,2.500 ,Too large C
SBT1,9-23,SIA,SBT1_9-23_SIA,9/30/2023,7/25/2024,Y,,Y,Y,"C,N,S",,,,,3.500 ,Too Small S,3.00 ,0.40 ,2.077 ,0.009594837,2.200 ,,-27.96,0.15 ,4.931 ,0.03446154,2.900 ,
SBT2,4-24,SIA,SBT2_4-24_SIA,4/11/2024,8/19/2024,Y,,Y,Y,"C,N,S",,,,,3.300 ,"Too small S, manually integrated area",0.87 ,0.82 ,0.377 ,0.022227432,2.400 ,Very small N,-17.25,,11.911 ,0.049800592,2.200 ,
SBT2,9-23,SIA,SBT2_9-23_SIA,10/5/2023,8/1/2024,Y,,Y,Y,"C,N,S",-3.35,2.08 ,2.572 ,0.939 ,3.000 ,Very Large,,,,,2.300 ,BQL_N<0.0099mg;0.0059 mg N ;estimated target 7.02mg,-17.38,0.17 ,9.041 ,0.058171736,2.500 ,
TB1,4-24,SIA,TB1_4-24_SIA,4/8/2024,8/13/2024,Y,,Y,Y,"C,N,S",-6.80,1.15 ,0.399 ,0.248 ,3.300 ,,,,,,2.200 ,BQL_N<0.0061mg;0.0056 mg N,-7.59,0.15 ,12.622 ,0.047463243,2.500 ,
TB1,9-23,SIA,TB1_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-2.96,0.76 ,0.399 ,0.043 ,3.600 ,,,,,,3.000 ,BQL_N<0.0099mg;0.0083 mg N ;estimated target 6.53mg,-18.69,0.15 ,13.400 ,0.049990125,2.300 ,
TB2,4-24,SIA,TB2_4-24_SIA,4/8/2024,8/13/2024,Y,,Y,Y,"C,N,S",,,,,3.300 ,Too Small S,,,,,2.100 ,BQL_N<0.0061mg;0.0047 mg N,-7.02,0.15 ,13.927 ,0.057822373,2.800 ,
TB2,9-23,SIA,TB2_9-23_SIA,9/27/2023,7/30/2024,Y,,Y,Y,"C,N,S",,,,,3.300 ,Too small S,3.40 ,0.37 ,0.318 ,0.011757172,2.800 ,,-14.98,,17.619 ,0.082130316,2.300 ,Large C
TBC,4-24,SIA,TBC_4-24_SIA,4/8/2024,8/12/2024,Y,,Y,Y,"C,N,S",-5.40,1.66 ,0.191 ,0.301 ,3.800 ,small S,0.89 ,0.56 ,2.261 ,0.021701046,2.700 ,Large N,-14.43,0.15 ,16.279 ,0.073339683,2.800 ,
TBCM,4-24,SIA,TBCM_4-24_SIA,4/8/2024,8/19/2024,Y,,Y,Y,"C,N,S",0.76 ,1.85 ,0.200 ,0.372 ,3.200 ,very small S,4.26 ,0.37 ,0.337 ,0.014921275,2.300 ,,-21.86,,16.113 ,0.080116184,2.900 ,Very large C
TBCM,9-23,SIA,TBCM_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",0.67 ,0.72 ,0.939 ,0.043 ,3.400 ,,3.81 ,0.40 ,0.987 ,0.006344095,2.300 ,,-24.75,0.26 ,37.727 ,0.420265531,2.500 ,Large C
TBHM,4-24,SIA,TBHM_4-24_SIA,4/8/2024,8/8/2024,Y,,Y,Y,"C,N,S",3.37 ,0.86 ,0.233 ,0.267 ,3.900 ,,3.02 ,0.41 ,0.537 ,0.017328663,2.500 ,,-20.89,0.15 ,23.568 ,0.125102834,2.800 ,
TBHM,9-23,SIA,TBHM_9-23_SIA,9/27/2023,7/29/2024,Y,,Y,Y,"C,N,S",-4.15,0.78 ,0.767 ,0.031 ,3.800 ,,3.83 ,0.40 ,0.838 ,0.005998291,2.500 ,,-26.11,0.27 ,32.761 ,0.357352879,2.600 ,Large C
TKB,4-24,SIA,TKB_4-24_SIA,4/11/2024,8/15/2024,Y,,Y,Y,"C,N,S",3.21 ,1.72 ,0.184 ,0.413 ,3.000 ,very small S,,,,,2.300 ,BQL_N<0.0061mg;0.0042 mg N,-12.83,0.15 ,5.342 ,0.031421191,3.000 ,
TKB,9-23,SIA,TKB_9-23_SIA,10/5/2023,8/5/2024,Y,,Y,Y,"C,N,S",,,,,3.900 ,Too small S,2.16 ,0.40 ,0.834 ,0.007193064,2.200 ,,-12.83,0.17 ,11.006 ,0.073393724,2.300 ,
TSM1,4-24,SIA,TSM1_4-24_SIA,4/9/2024,8/13/2024,Y,,Y,Y,"C,N,S",4.78 ,1.65 ,0.145 ,0.387 ,3.300 ,very small S,2.18 ,0.37 ,0.643 ,0.012310771,2.200 ,,-28.41,0.23 ,37.192 ,0.225674037,2.800 ,Large N
TSM1,9-23,SIA,TSM1_9-23_SIA,9/30/2023,7/25/2024,Y,,Y,Y,"C,N,S",,,,,3.000 ,Too Small S,3.15 ,0.37 ,0.584 ,0.014847369,2.000 ,,-27.67,0.27 ,40.370 ,0.439890413,2.100 ,Large C
TSM3,4-24,SIA,TSM3_4-24_SIA,4/9/2024,8/8/2024,Y,,Y,Y,"C,N,S",1.79 ,1.80 ,0.148 ,0.359 ,3.500 ,very small S,3.25 ,0.37 ,0.413 ,0.012494541,2.500 ,,-24.89,0.30 ,45.120 ,0.284782265,2.800 ,Very Large N
TSM3,9-23,SIA,TSM3_9-23_SIA,9/30/2023,7/25/2024,Y,,Y,Y,"C,N,S",-3.86,1.06 ,0.325 ,0.238 ,3.700 ,,2.17 ,0.37 ,1.578 ,0.012656493,2.800 ,,-24.21,0.23 ,44.240 ,0.261159466,2.100 ,Large N
TSM4,4-24,SIA,TSM4_4-24_SIA,4/9/2024,8/13/2024,Y,,Y,Y,"C,N,S",4.07 ,0.80 ,0.813 ,0.148 ,3.600 ,,2.30 ,0.41 ,2.680 ,0.05394578,2.200 ,,-28.07,0.30 ,51.819 ,0.338376743,3.000 ,Very Large N
TSM4,9-23,SIA,TSM4_9-23_SIA,9/30/2023,7/30/2024,Y,,Y,Y,"C,N,S",2.27 ,0.89 ,1.961 ,0.597 ,3.000 ,,3.80 ,0.37 ,0.592 ,0.011260849,2.400 ,,-28.24,0.36 ,42.163 ,0.472193324,2.300 ,Very Large C
WB1,4-24,SIA,WB1_4-24_SIA,4/11/2024,8/12/2024,Y,,Y,Y,"C,N,S",-4.11,1.06 ,0.231 ,0.354 ,3.200 ,,2.83 ,0.37 ,0.426 ,0.011686653,2.600 ,,-13.96,,20.036 ,0.106066973,2.700 ,
WB1,9-23,SIA,WB1_9-23_SIA,10/5/2023,8/19/2024,Y,,Y,Y,"C,N,S",1.37 ,1.42 ,0.383 ,0.051 ,3.400 ,Very small S,,,,,2.000 ,BQL_N<0.0099mg;0.0066 mg N ;estimated target 5.47mg,-12.44,0.15 ,23.136 ,0.114516071,2.400 ,
WB2,4-24,SIA,WB2_4-24_SIA,4/11/2024,8/13/2024,Y,,Y,Y,"C,N,S",,,,,3.800 ,Too Small S,2.58 ,0.37 ,0.370 ,0.010114635,3.000 ,,-5.29,0.15 ,15.138 ,0.066893794,2.900 ,
WB2,9-23,SIA,WB2_9-23_SIA,10/5/2023,8/5/2024,Y,,Y,Y,"C,N,S",-2.06,2.01 ,0.161 ,0.297 ,4.000 ,very small S,2.73 ,0.37 ,0.370 ,0.013733092,2.400 ,,-14.22,0.17 ,21.124 ,0.208898325,2.800 ,
