Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value
1994-09-14,SAMP,G,SA,61,CHLOROPHYLL-A,,3.6,3.6
1994-10-05,SAMP,G,SA,61,CHLOROPHYLL-A,,10,10
1994-11-02,SAMP,G,SA,61,CHLOROPHYLL-A,,7.5,7.5
1994-11-22,SAMP,G,SA,61,CHLOROPHYLL-A,,3.9,3.9
1994-12-01,SAMP,G,SA,61,CHLOROPHYLL-A,,4.6,4.6
1995-01-05,SAMP,G,SA,61,CHLOROPHYLL-A,,3.6,3.6
1995-02-02,SAMP,G,SA,61,CHLOROPHYLL-A,,0.9,0.9
1995-03-01,SAMP,G,SA,61,CHLOROPHYLL-A,,2.3,2.3
1995-04-19,SAMP,G,SA,61,CHLOROPHYLL-A,,2.9,2.9
1995-05-24,SAMP,G,SA,61,CHLOROPHYLL-A,,0.2,0.2
1995-06-21,SAMP,G,SA,61,CHLOROPHYLL-A,,7.6,7.6
1995-07-12,SAMP,G,SA,61,CHLOROPHYLL-A,,0.5,0.5
1995-08-11,SAMP,G,SA,61,CHLOROPHYLL-A,,10.4,10.4
1995-09-06,SAMP,G,SA,61,CHLOROPHYLL-A,,-99,-99
1995-10-22,SAMP,G,SA,61,CHLOROPHYLL-A,,5,5
1995-11-17,SAMP,G,SA,61,CHLOROPHYLL-A,,6.6,6.6
1995-12-14,SAMP,G,SA,61,CHLOROPHYLL-A,,1.6,1.6
1996-01-23,SAMP,G,SA,61,CHLOROPHYLL-A,,3.7,3.7
1996-02-12,SAMP,G,SA,61,CHLOROPHYLL-A,,2.6,2.6
1996-03-22,SAMP,G,SA,61,CHLOROPHYLL-A,,1,1
1996-04-25,SAMP,G,SA,61,CHLOROPHYLL-A,,1.2,1.2
1996-05-10,SAMP,G,SA,61,CHLOROPHYLL-A,,3,3
1996-06-06,SAMP,G,SA,61,CHLOROPHYLL-A,,4.7,4.7
1996-07-04,SAMP,G,SA,61,CHLOROPHYLL-A,,1.4,1.4
1996-08-22,SAMP,G,SA,61,CHLOROPHYLL-A,,5.2,5.2
1996-09-14,SAMP,G,SA,61,CHLOROPHYLL-A,,1.1,1.1
1996-10-15,SAMP,G,SA,61,CHLOROPHYLL-A,,6.2,6.2
1996-11-07,SAMP,G,SA,61,CHLOROPHYLL-A,,1.7,1.7
1996-12-06,SAMP,G,SA,61,CHLOROPHYLL-A,,3,3
1997-01-08,SAMP,G,SA,61,CHLOROPHYLL-A,,10,10
1997-02-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.9,1.9
1997-03-12,SAMP,G,SA,61,CHLOROPHYLL-A,,0.7,0.7
1997-04-16,SAMP,G,SA,61,CHLOROPHYLL-A,,1.6,1.6
1997-05-22,SAMP,G,SA,61,CHLOROPHYLL-A,,2.3,2.3
1997-06-12,SAMP,G,SA,61,CHLOROPHYLL-A,,1,1
1997-07-10,SAMP,G,SA,61,CHLOROPHYLL-A,,4,4
1997-08-20,SAMP,G,SA,61,CHLOROPHYLL-A,,6.9,6.9
1997-09-10,SAMP,G,SA,61,CHLOROPHYLL-A,,5.8,5.8
1997-10-21,SAMP,G,SA,61,CHLOROPHYLL-A,,4,4
1997-11-25,SAMP,G,SA,61,CHLOROPHYLL-A,,1.6,1.6
1997-12-12,SAMP,G,SA,61,CHLOROPHYLL-A,,1.7,1.7
1998-01-21,SAMP,G,SA,61,CHLOROPHYLL-A,,0.8,0.8
1998-02-18,SAMP,G,SA,61,CHLOROPHYLL-A,,2.3,2.3
1998-03-20,SAMP,G,SA,61,CHLOROPHYLL-A,,3.5,3.5
1998-04-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.8,1.8
1998-05-14,SAMP,G,SA,61,CHLOROPHYLL-A,,1.3,1.3
1998-06-10,SAMP,G,SA,61,CHLOROPHYLL-A,,1.4,1.4
1998-07-14,SAMP,G,SA,61,CHLOROPHYLL-A,,0.6,0.6
1998-08-19,SAMP,G,SA,61,CHLOROPHYLL-A,,7.3,7.3
1998-09-17,SAMP,G,SA,61,CHLOROPHYLL-A,,6.2,6.2
1998-09-30,SAMP,G,SA,61,CHLOROPHYLL-A,,7.3,7.3
1998-11-03,SAMP,G,SA,61,CHLOROPHYLL-A,,6,6
1998-12-01,SAMP,G,SA,61,CHLOROPHYLL-A,,12.9,12.9
1999-01-14,SAMP,G,SA,61,CHLOROPHYLL-A,,6.8,6.8
1999-02-10,SAMP,G,SA,61,CHLOROPHYLL-A,,12.6,12.6
1999-03-23,SAMP,G,SA,61,CHLOROPHYLL-A,,0.7,0.7
1999-04-29,SAMP,G,SA,61,CHLOROPHYLL-A,,3,3
1999-05-28,SAMP,G,SA,61,CHLOROPHYLL-A,,4.5,4.5
1999-06-17,SAMP,G,SA,61,CHLOROPHYLL-A,,11.6,11.6
1999-07-06,SAMP,G,SA,61,CHLOROPHYLL-A,,6.4,6.4
1999-08-24,SAMP,G,SA,61,CHLOROPHYLL-A,,6.2,6.2
1999-09-23,SAMP,G,SA,61,CHLOROPHYLL-A,,2.1,2.1
1999-10-26,SAMP,G,SA,61,CHLOROPHYLL-A,32210,35.6,35.6
1999-11-12,SAMP,G,SA,61,CHLOROPHYLL-A,32210,18.5,18.5
1999-12-03,SAMP,G,SA,61,CHLOROPHYLL-A,32210,9.8,9.8
2000-01-25,SAMP,G,SA,61,CHLOROPHYLL-A,,7.4,7.4
2000-02-28,SAMP,G,SA,61,CHLOROPHYLL-A,,6,6
2000-03-21,SAMP,G,SA,61,CHLOROPHYLL-A,,17.5,17.5
2000-04-13,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5.5,5.5
2000-05-30,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.8,0.8
2000-06-20,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.2,1.2
2000-07-20,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.8,0.8
2000-08-29,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2,2
2000-09-29,SAMP,G,SA,61,CHLOROPHYLL-A,32210,7.5,7.5
2000-10-26,SAMP,G,SA,61,CHLOROPHYLL-A,32210,4.4,4.4
2000-11-30,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.9,0.9
2000-12-11,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5,5
2001-01-25,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2001-02-21,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2001-03-06,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.7,0.7
2001-04-03,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.7,0.7
2001-05-02,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.3,0.3
2001-06-05,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.8,0.8
2001-07-12,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1,1
2001-08-14,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2.3,2.3
2001-09-05,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2.6,2.6
2001-10-23,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2.6,2.6
2001-11-08,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.8,0.8
2001-12-03,SAMP,G,SA,61,CHLOROPHYLL-A,32210,6,6
2002-01-29,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5.2,5.2
2002-02-20,SAMP,G,SA,61,CHLOROPHYLL-A,32210,3.4,3.4
2002-03-19,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.6,0.6
2002-04-09,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.9,0.9
2002-04-09,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.9,0.9
2002-05-15,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2002-05-15,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2002-06-04,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1,1
2002-06-04,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1,1
2002-07-11,SAMP,G,SA,61,CHLOROPHYLL-A,32210,12.3,12.3
2002-08-19,SAMP,G,SA,61,CHLOROPHYLL-A,32210,6.5,6.5
2002-09-17,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5.5,5.5
2002-10-17,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2.5,2.5
2002-11-14,SAMP,G,SA,61,CHLOROPHYLL-A,32210,3.4,3.4
2002-12-11,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.1,1.1
2003-01-28,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2003-02-25,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.7,0.7
2003-03-13,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.5,0.5
2003-04-09,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.6,0.6
2003-05-08,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1,1
2003-06-10,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2,2
2003-07-01,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5.9,5.9
2003-08-25,SAMP,G,SA,61,CHLOROPHYLL-A,32210,9.6,9.6
2003-09-09,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.7,1.7
2003-10-15,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.9,0.9
2003-11-07,SAMP,G,SA,61,CHLOROPHYLL-A,32210,9.8,9.8
2003-12-03,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5.2,5.2
2004-01-21,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.7,0.7
2004-02-24,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.9,0.9
2004-03-23,SAMP,G,SA,61,CHLOROPHYLL-A,32210,2.6,2.6
2004-04-21,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.6,0.6
2004-05-21,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.7,0.7
2004-06-28,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.1,1.1
2004-07-27,SAMP,G,SA,61,CHLOROPHYLL-A,32210,3.5,3.5
2004-08-24,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.1,1.1
2004-09-28,SAMP,G,SA,61,CHLOROPHYLL-A,32210,1.6,1.6
2004-10-26,SAMP,G,SA,61,CHLOROPHYLL-A,32210,5,5
2004-11-29,SAMP,G,SA,61,CHLOROPHYLL-A,32210,9.8,9.8
2004-12-14,SAMP,G,SA,61,CHLOROPHYLL-A,32210,0.3,0.3
2006-10-09,SAMP,G,SA,61,CHLOROPHYLL-A,49128,4.6413,4.6
2006-10-09,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.3132,3.3
2006-11-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,13.2484,13.2
2006-12-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,8.3543,8.4
2006-12-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,9.144,9.1
2007-01-11,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.9194,3.9
2007-01-11,SAMP,G,SA,61,CHLOROPHYLL-A,49128,5.5283,5.5
2007-02-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,1.1559,1.2
2007-02-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,1.2695,1.3
2007-03-12,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.1888,3.2
2007-03-12,SAMP,G,SA,61,CHLOROPHYLL-A,49128,2.5916,2.6
2007-04-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.215,0.2
2007-04-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.238,0.2
2007-05-01,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.6987,0.7
2007-05-01,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.6526,0.7
2007-06-06,SAMP,G,SA,61,CHLOROPHYLL-A,49128,1.0211,1
2007-06-06,SAMP,G,SA,61,CHLOROPHYLL-A,49128,1.1516,1.2
2007-07-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.115,0.1
2007-07-03,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.123,0.1
2007-08-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.407,0.4
2007-08-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.461,0.5
2007-09-05,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.43,0.4
2007-09-05,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.537,0.5
2007-10-04,SAMP,G,SA,61,CHLOROPHYLL-A,49128,4.2881,4.3
2007-11-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.2449,0.2
2007-11-07,FD,G,SA,61,CHLOROPHYLL-A,49128,0.2653,0.3
2007-12-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.1039,3.1
2008-01-09,SAMP,G,SA,61,CHLOROPHYLL-A,49128,4.3638,4.4
2008-02-08,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.9951,4
2008-03-05,SAMP,G,SA,61,CHLOROPHYLL-A,49128,3.7492,3.7
2008-04-02,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.2766,0.3
2008-05-07,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.2971,0.3
2008-06-04,SAMP,G,SA,61,CHLOROPHYLL-A,49128,0.379,0.4
