#Merged Datasets Daily/Validated from 2011-01-01 to 2024-11-30
#Date,TB/chlorophyll2,TB/cond2,TB/depth,TB/dissolved_oxygen,TB/pH,TB/FDOM,TB/rain,TB/salinity2,TB/surface_temperature,TB/turbidity2,TB/stage
2011-02-12,0.735,26.875,null,7.638,8.150,null,0.080,16.518,18.279,null,-1.563
2011-02-13,0.543,22.361,null,8.993,8.236,null,0.000,13.517,15.997,null,-1.782
2011-02-14,0.411,19.145,null,9.751,8.279,null,0.000,11.417,19.084,null,-1.734
2011-02-15,0.439,18.994,null,9.354,8.291,null,0.000,11.319,19.449,null,-1.647
2011-02-16,0.425,19.402,null,8.943,8.296,null,0.000,11.583,20.512,null,-1.430
2011-02-17,0.403,27.549,null,8.391,8.300,null,0.010,17.040,21.697,null,-1.202
2011-02-18,0.378,36.204,null,7.958,8.248,null,0.000,22.980,22.475,null,-1.061
2011-02-19,0.361,37.156,null,7.634,8.228,null,0.000,23.575,22.416,null,-1.083
2011-02-20,0.384,37.342,null,8.167,8.236,null,0.000,23.698,22.879,null,-1.079
2011-02-21,0.395,44.984,null,5.940,8.067,null,0.000,29.122,25.253,null,-0.841
2011-02-22,0.417,46.247,null,5.927,8.071,null,0.000,30.033,26.427,null,-0.812
2011-02-23,0.295,42.711,null,7.242,8.158,null,0.000,27.493,26.313,null,-1.010
2011-02-24,0.352,42.898,null,7.139,8.166,null,0.000,27.621,25.475,null,-1.053
2011-02-25,0.390,43.601,null,6.395,8.106,null,0.000,28.123,25.013,null,-0.821
2011-02-26,0.304,47.220,null,7.062,8.111,null,0.000,30.730,26.749,null,-0.949
2011-02-27,0.357,46.106,null,6.548,8.088,null,0.000,29.923,26.910,null,-0.961
2011-02-28,0.371,45.692,null,6.445,8.114,null,0.000,29.625,26.454,null,-0.846
2011-03-01,0.412,46.688,null,6.315,8.114,null,0.000,30.343,26.441,null,-0.867
2011-03-02,0.420,43.186,null,6.755,8.158,null,0.000,27.828,24.907,null,-1.215
2011-03-03,0.353,37.792,null,7.356,8.230,null,0.000,24.011,22.610,null,-1.450
2011-03-04,0.451,37.689,null,7.759,8.237,null,0.000,23.941,21.631,null,-1.452
2011-03-05,0.457,36.313,null,7.821,8.245,null,0.000,22.983,22.639,null,-1.240
2011-03-06,0.488,44.512,null,6.605,8.198,null,0.000,28.787,24.733,null,-0.830
2011-03-07,0.556,43.187,null,7.985,8.270,null,0.000,27.829,24.402,null,-0.979
2011-03-08,0.464,45.683,null,7.866,8.267,null,0.000,29.619,25.262,null,-0.900
2011-03-09,0.410,47.750,null,7.099,8.244,null,0.000,31.112,25.671,null,-0.893
2011-03-10,0.331,47.545,null,6.061,8.215,null,0.130,30.963,24.989,null,-0.796
2011-03-11,0.497,45.548,null,6.886,8.239,null,0.010,29.531,21.213,null,-1.185
2011-03-12,0.372,39.941,null,8.461,8.315,null,0.000,25.524,20.331,null,-1.312
2011-03-13,0.383,40.741,null,8.231,8.319,null,0.000,26.090,21.667,null,-1.308
2011-03-14,0.456,41.712,null,8.127,8.334,null,0.000,26.776,22.772,null,-1.294
2011-03-15,0.583,41.089,null,7.995,8.324,null,0.000,26.335,23.407,null,-1.228
2011-03-16,0.574,40.638,null,7.542,8.310,null,0.000,26.016,24.525,null,-1.108
2011-03-17,0.501,43.268,null,7.365,8.294,null,0.000,27.888,25.214,null,-1.131
2011-03-18,0.518,43.789,null,7.142,8.296,null,0.000,28.260,24.682,null,-1.194
2011-03-19,0.480,44.633,null,7.381,8.316,null,0.000,28.863,23.809,null,-1.144
2011-03-20,0.512,45.527,null,7.541,8.303,null,0.000,29.508,24.000,null,-1.133
2011-03-21,0.430,47.787,null,7.311,8.305,null,0.010,31.139,24.341,null,-1.229
2011-03-22,0.445,46.562,null,7.122,8.299,null,0.000,30.253,24.148,null,-1.224
2011-03-23,0.476,48.303,null,7.111,8.276,null,0.000,31.520,26.058,null,-1.014
2011-03-24,0.620,50.410,null,6.993,8.211,null,0.000,33.054,26.874,null,-0.872
2011-03-25,0.709,50.346,null,7.082,8.185,null,0.000,33.004,26.418,null,-0.920
2011-03-26,0.706,50.634,null,7.599,8.181,null,0.000,33.213,27.689,null,-0.951
2011-03-27,0.798,51.024,null,7.339,8.176,null,0.000,33.499,27.904,null,-0.750
2011-03-28,0.819,52.263,null,6.879,8.155,null,0.840,34.410,28.885,null,-0.799
2011-03-29,0.918,50.839,null,6.849,8.178,null,0.170,33.363,27.769,null,-1.009
2011-03-30,0.758,50.908,null,7.087,8.174,null,0.000,33.414,28.678,null,-0.773
2011-03-31,0.788,51.308,null,6.424,8.157,null,0.000,33.708,28.676,null,-0.584
2011-04-01,0.830,51.848,null,6.346,8.112,null,0.110,34.104,27.861,null,-0.526
2011-04-02,0.861,52.024,null,7.111,8.147,null,0.000,34.233,27.813,null,-0.879
2011-04-03,0.829,50.990,null,8.005,8.199,null,0.000,33.474,28.592,null,-1.021
2011-04-04,0.926,50.691,null,7.431,8.216,null,0.000,33.255,28.124,null,-1.000
2011-04-05,1.057,49.753,null,6.850,8.196,null,0.210,32.570,27.601,null,-0.688
2011-04-06,0.948,50.340,null,7.524,8.227,null,0.000,32.998,26.478,null,-1.046
2011-04-07,0.906,49.197,null,8.147,8.240,null,0.000,32.167,27.387,null,-1.083
2011-04-08,0.888,49.328,null,7.644,8.232,null,0.000,32.259,28.185,null,-1.031
2011-04-09,0.862,49.542,null,7.669,8.269,null,0.000,32.415,28.688,null,-1.021
2011-04-10,0.851,50.125,null,8.105,8.319,null,0.000,32.841,29.362,null,-0.927
2011-04-11,0.801,52.066,null,7.836,8.302,null,0.000,34.265,29.370,null,-0.794
2011-04-12,0.616,53.597,null,6.723,8.196,null,0.000,35.394,29.735,null,-0.674
2011-04-13,0.476,54.796,null,6.204,8.141,null,0.260,36.281,28.345,null,-0.663
2011-04-14,0.583,57.548,null,6.581,8.153,null,0.000,38.333,27.143,null,-0.696
2011-04-15,0.670,58.819,null,6.604,8.144,null,0.000,39.286,28.360,null,-0.551
2011-04-16,0.666,59.516,null,6.056,8.130,null,0.000,39.811,29.485,null,-0.413
2011-04-17,0.652,60.822,null,5.630,8.132,null,0.000,40.797,29.979,null,-0.461
2011-04-18,0.820,61.865,null,6.074,8.176,null,0.000,41.587,29.526,null,-0.535
2011-04-19,1.222,62.388,null,6.266,8.171,null,0.000,41.984,29.948,null,-0.592
2011-04-20,0.708,63.184,null,6.381,8.198,null,0.000,42.590,29.228,null,-0.770
2011-04-21,0.998,63.429,null,6.451,null,null,0.000,42.776,27.947,null,-1.010
2011-04-22,2.446,58.782,null,6.978,null,null,0.000,39.259,27.122,null,-1.127
2011-04-23,2.407,57.693,null,7.435,null,null,0.000,38.442,27.357,null,-1.124
2011-04-24,2.416,56.353,null,7.586,null,null,0.000,37.440,27.633,null,-1.127
2011-04-25,2.410,56.469,null,7.436,null,null,0.000,37.526,28.089,null,-1.145
2011-04-26,2.370,56.601,null,7.331,null,null,0.000,37.625,29.375,null,-0.881
2011-04-27,1.936,58.780,null,7.942,null,null,0.000,39.256,30.491,null,-0.625
2011-04-28,2.228,58.849,null,6.899,null,null,0.000,39.309,30.618,null,-0.697
2011-04-29,2.488,59.449,null,6.522,null,null,0.000,39.760,30.928,null,-0.817
2011-04-30,2.552,59.813,null,5.795,null,null,0.000,40.034,29.291,null,-0.870
2011-05-01,2.798,60.205,null,6.976,null,null,0.000,40.330,28.756,null,-1.113
2011-05-02,null,60.731,null,7.288,null,null,0.000,40.728,28.273,null,-1.180
2011-05-03,null,60.899,null,7.400,null,null,0.000,40.855,28.212,null,-1.232
2011-05-04,null,60.610,null,7.827,null,null,0.000,40.636,28.927,null,-1.082
2011-05-05,null,61.877,null,7.552,null,null,0.000,41.596,28.261,null,-1.076
2011-05-06,2.858,62.282,null,6.924,null,null,0.000,41.904,28.358,null,-0.984
2011-05-07,2.270,62.974,null,6.733,null,null,0.000,42.430,29.483,null,-0.855
2011-05-08,2.200,63.251,null,7.035,null,null,0.000,42.641,30.068,null,-0.786
2011-05-09,1.322,null,null,null,null,null,0.000,null,null,null,-0.787
2011-05-10,0.964,null,null,6.755,8.261,null,0.000,39.837,30.069,null,-0.839
2011-05-11,0.823,62.224,null,6.954,8.274,null,0.000,41.859,30.355,null,-0.761
2011-05-12,0.879,63.186,null,5.962,8.251,null,0.320,42.592,29.838,null,-0.733
2011-05-13,0.841,64.489,null,6.045,8.228,null,0.000,43.586,29.300,null,-0.643
2011-05-14,0.859,64.960,null,6.173,8.225,null,0.000,43.947,29.981,null,-0.367
2011-05-15,0.748,65.386,null,5.947,8.251,null,0.160,44.273,28.421,null,-0.187
2011-05-16,null,65.165,null,5.427,8.133,null,0.000,44.104,27.658,null,-0.247
2011-05-17,0.864,65.611,null,6.611,8.249,null,0.000,44.446,27.602,null,-0.008
2011-05-18,1.228,66.413,null,5.730,8.167,null,0.000,45.063,28.426,null,-0.237
2011-05-19,1.069,66.537,null,6.923,8.206,null,0.000,45.159,30.093,null,-0.417
2011-05-20,1.234,65.300,null,7.152,8.197,null,0.000,44.208,31.613,null,-0.503
2011-05-21,1.003,67.931,null,7.001,8.218,null,0.000,46.235,31.764,null,-0.598
2011-05-22,0.800,67.967,null,7.032,8.301,null,0.000,46.263,31.529,null,-0.722
2011-05-23,0.822,67.498,null,6.622,8.307,null,0.000,45.900,29.324,null,-0.864
2011-05-24,0.945,65.387,null,7.388,8.285,null,0.000,44.276,28.661,null,-0.942
2011-05-25,0.885,65.345,null,7.293,8.283,null,0.000,44.243,29.101,null,-0.935
2011-05-26,1.030,66.771,null,7.176,8.265,null,0.010,45.340,30.004,null,-0.756
2011-05-27,0.897,68.935,null,6.025,8.264,null,0.000,47.013,30.658,null,-0.728
2011-05-28,0.897,69.268,null,6.063,8.268,null,0.000,47.272,30.683,null,-0.762
2011-05-29,0.696,70.058,null,6.603,8.321,null,0.000,47.886,29.756,null,-0.870
2011-05-30,0.604,70.817,null,6.727,8.341,null,0.000,48.477,28.896,null,-1.061
2011-05-31,null,68.376,null,null,null,null,0.470,46.580,28.561,null,-1.237
2011-06-01,null,67.259,null,null,null,null,0.020,45.715,28.622,null,-1.298
2011-06-02,null,67.541,null,null,null,null,0.010,45.933,29.102,null,-1.265
2011-06-03,null,67.702,null,null,null,null,0.000,46.058,28.837,null,-1.303
2011-06-04,null,67.929,null,null,null,null,0.000,46.233,28.902,null,-1.285
2011-06-05,0.734,null,null,7.935,8.191,null,0.000,null,29.062,null,-1.188
2011-06-06,0.672,null,null,6.645,8.313,null,0.000,null,29.799,null,-0.910
2011-06-07,0.386,null,null,6.565,8.218,null,0.000,null,29.621,null,-0.693
2011-06-08,0.356,null,null,6.765,8.251,null,0.000,null,28.646,null,-0.779
2011-06-09,0.414,70.197,null,6.816,8.202,null,0.000,47.994,27.692,null,-0.855
2011-06-10,0.547,70.972,null,6.941,8.157,null,0.050,48.599,28.121,null,-0.827
2011-06-11,0.527,71.657,null,7.661,8.175,null,0.070,49.134,29.229,null,-0.675
2011-06-12,0.418,71.294,null,7.818,8.170,null,0.000,48.850,31.270,null,-0.397
2011-06-13,0.478,70.555,null,7.928,8.178,null,0.000,48.273,31.675,null,-0.311
2011-06-14,0.548,69.700,null,7.307,8.182,null,0.000,47.606,32.114,null,-0.326
2011-06-15,0.568,69.072,null,6.696,8.188,null,0.000,47.119,31.452,null,-0.325
2011-06-16,0.441,70.140,null,7.404,8.239,null,0.000,47.949,31.271,null,-0.309
2011-06-17,0.560,69.862,null,7.631,8.239,null,0.000,47.733,32.311,null,-0.277
2011-06-18,null,70.251,null,7.773,8.252,null,0.000,48.036,32.828,null,-0.345
2011-06-19,null,71.007,null,7.595,8.297,null,0.010,48.625,32.237,null,-0.484
2011-06-20,0.661,70.800,null,7.058,8.301,null,0.710,48.464,31.410,null,-0.497
2011-06-21,0.876,70.599,null,7.013,8.265,null,0.000,48.307,31.446,null,-0.541
2011-06-22,1.102,70.941,null,7.631,8.273,null,0.000,48.574,31.849,null,-0.526
2011-06-23,0.491,null,null,8.166,8.287,null,0.000,43.891,32.307,null,-0.458
2011-06-24,0.427,null,null,6.797,8.332,null,0.740,46.687,32.105,null,-0.417
2011-06-25,0.287,null,null,6.566,8.350,null,0.000,45.570,31.486,null,-0.406
2011-06-26,0.495,71.037,null,6.508,8.345,null,0.280,47.369,31.901,null,-0.338
2011-06-27,0.218,70.676,null,6.963,8.360,null,0.000,48.367,32.209,null,-0.435
2011-06-28,1.036,69.452,null,6.661,8.398,null,1.210,47.415,30.894,null,-0.525
2011-06-29,1.232,67.007,null,6.586,8.399,null,1.420,45.525,29.157,null,-0.501
2011-06-30,2.111,65.576,null,5.773,8.228,null,0.010,44.423,29.540,null,-0.476
2011-07-01,null,65.748,null,7.556,8.246,null,0.000,44.552,30.589,null,-0.421
2011-07-02,0.767,62.323,null,8.205,8.261,null,0.140,41.940,30.326,null,-0.436
2011-07-03,0.887,63.187,null,8.705,8.315,null,0.000,42.598,30.650,null,-0.433
2011-07-04,0.767,61.945,null,8.928,8.418,null,0.020,41.648,30.499,null,-0.400
2011-07-05,0.709,62.864,null,8.426,8.442,null,0.000,42.349,30.728,null,-0.502
2011-07-06,0.665,64.342,null,5.895,8.363,null,3.070,43.475,29.924,null,-0.385
2011-07-07,1.103,59.646,null,5.362,8.254,null,3.480,39.941,28.457,null,-0.124
2011-07-08,1.975,49.750,null,5.682,8.171,null,0.000,32.584,28.157,null,-0.164
2011-07-09,2.880,49.233,null,5.412,7.915,null,0.000,32.198,30.505,null,-0.340
2011-07-10,3.405,51.047,null,9.975,8.084,null,0.000,33.518,32.830,null,-0.468
2011-07-11,3.483,49.525,null,9.206,8.078,null,0.530,32.404,33.147,null,-0.523
2011-07-12,4.001,48.477,null,8.337,8.050,null,0.000,31.640,33.169,null,-0.536
2011-07-13,4.319,48.936,null,8.749,8.143,null,0.000,31.977,33.294,null,-0.493
2011-07-14,3.675,49.361,null,9.148,8.213,null,0.490,32.288,33.414,null,-0.419
2011-07-15,3.649,51.492,null,7.670,8.216,null,0.030,33.847,32.927,null,-0.337
2011-07-16,null,54.029,null,7.046,8.257,null,0.070,35.714,32.615,null,-0.300
2011-07-17,3.950,54.270,null,6.192,8.174,null,1.170,35.898,32.929,null,-0.286
2011-07-18,3.920,51.723,null,6.546,8.136,null,0.030,34.012,32.276,null,-0.330
2011-07-19,4.079,51.437,null,7.073,8.193,null,0.070,33.803,32.063,null,-0.327
2011-07-20,3.984,50.934,null,7.223,8.185,null,0.000,33.433,32.471,null,-0.305
2011-07-21,4.227,51.090,null,7.458,8.191,null,0.000,33.548,33.020,null,-0.391
2011-07-22,4.271,52.518,null,6.873,8.129,null,0.000,34.597,33.011,null,-0.432
2011-07-23,5.383,52.103,null,7.565,8.099,null,0.000,34.292,32.980,null,-0.565
2011-07-24,6.246,50.699,null,8.858,8.145,null,0.000,33.261,33.111,null,-0.642
2011-07-25,6.448,51.904,null,8.501,8.197,null,0.000,34.145,33.111,null,-0.634
2011-07-26,7.071,52.005,null,7.982,8.206,null,0.220,34.219,31.985,null,-0.389
2011-07-27,6.122,54.217,null,6.782,8.270,null,0.000,35.854,31.547,null,-0.345
2011-07-28,5.734,55.903,null,7.109,8.321,null,0.010,37.105,30.580,null,-0.424
2011-07-29,5.749,56.195,null,8.029,8.371,null,0.090,37.322,31.741,null,-0.540
2011-07-30,5.955,56.394,null,8.084,8.436,null,0.000,37.470,32.042,null,-0.550
2011-07-31,5.315,56.611,null,8.331,8.474,null,0.020,37.632,32.627,null,-0.410
2011-08-01,6.142,58.263,null,7.573,8.447,null,0.210,38.869,33.621,null,-0.306
2011-08-02,null,59.011,null,6.800,8.413,null,0.000,39.434,32.530,null,-0.254
2011-08-03,4.119,60.158,null,6.534,8.303,null,0.000,40.295,32.762,null,-0.185
2011-08-04,3.231,61.476,null,8.187,8.275,null,0.000,41.293,33.717,null,-0.180
2011-08-05,3.082,57.216,null,8.984,8.282,null,0.000,38.104,33.860,null,-0.366
2011-08-06,4.213,59.087,null,6.859,8.244,null,0.160,39.492,32.552,null,-0.421
2011-08-07,4.993,60.034,null,5.911,8.183,null,0.740,40.207,32.519,null,-0.411
2011-08-08,5.623,59.550,null,4.667,8.115,null,0.130,39.838,30.783,null,-0.438
2011-08-09,6.498,59.635,null,5.840,8.094,null,0.000,39.900,30.553,null,-0.449
2011-08-10,7.408,58.969,null,6.441,8.107,null,0.080,39.399,30.458,null,-0.448
2011-08-11,7.804,58.279,null,5.537,8.084,null,0.540,38.880,29.670,null,-0.425
2011-08-12,7.676,58.221,null,5.249,8.062,null,0.000,38.837,30.595,null,-0.378
2011-08-13,6.569,58.794,null,7.426,8.167,null,0.110,39.267,32.006,null,-0.379
2011-08-14,6.374,58.651,null,8.072,8.227,null,0.000,39.160,32.863,null,-0.402
2011-08-15,6.128,59.322,null,7.873,8.271,null,0.070,39.665,32.806,null,-0.281
2011-08-16,5.803,60.199,null,7.662,8.310,null,0.000,40.326,32.487,null,-0.226
2011-08-17,4.544,62.565,null,8.045,8.287,null,0.000,42.118,33.511,null,-0.241
2011-08-18,5.489,62.777,null,8.555,8.327,null,0.510,42.280,33.149,null,-0.230
2011-08-19,4.883,63.632,null,5.672,8.267,null,0.160,42.933,31.345,null,-0.111
2011-08-20,4.497,64.698,null,5.792,8.204,null,0.170,43.746,30.733,null,-0.121
2011-08-21,4.423,64.862,null,7.730,8.248,null,0.000,43.872,32.030,null,-0.200
2011-08-22,4.657,64.940,null,7.658,8.249,null,0.290,43.931,32.474,null,-0.215
2011-08-23,6.530,63.606,null,6.763,8.236,null,0.180,42.913,31.179,null,-0.174
2011-08-24,8.449,62.434,null,6.288,8.184,null,0.000,42.019,30.511,null,-0.183
2011-08-25,10.418,62.359,null,6.527,8.159,null,0.000,41.962,29.872,null,-0.371
2011-08-26,null,64.353,null,6.396,8.187,null,0.000,43.484,30.293,null,0.132
2011-08-27,null,65.139,null,5.700,8.030,null,0.140,44.086,30.840,null,0.250
2011-08-28,null,64.371,null,5.094,8.033,null,1.990,43.499,30.266,null,0.301
2011-08-29,null,63.144,null,6.112,8.169,null,0.370,42.559,30.398,null,0.299
2011-08-30,5.588,63.537,null,5.743,8.160,null,0.500,42.860,30.621,null,0.178
2011-08-31,9.253,61.742,null,6.215,8.036,null,0.010,41.496,29.955,null,0.015
2011-09-01,13.281,60.405,null,4.916,7.898,null,0.000,40.484,30.135,null,-0.079
2011-09-02,14.250,59.069,null,5.095,7.843,null,0.000,39.475,29.525,null,-0.162
2011-09-03,14.702,59.591,null,5.155,7.866,null,0.000,39.868,30.270,null,-0.068
2011-09-04,14.581,60.006,null,3.961,7.759,null,0.000,40.180,30.676,null,-0.018
2011-09-05,15.258,59.840,null,4.517,7.799,null,0.000,40.054,31.028,null,0.040
2011-09-06,15.049,60.333,null,4.681,7.793,null,0.000,40.427,31.113,null,0.053
2011-09-07,15.854,60.927,null,4.296,7.725,null,0.000,40.876,31.057,null,-0.121
2011-09-08,16.960,58.820,null,5.843,7.849,null,0.000,39.287,31.639,null,-0.190
2011-09-09,18.109,57.521,null,5.175,7.825,null,0.000,38.313,32.602,null,-0.268
2011-09-10,19.174,57.681,null,5.646,7.882,null,0.010,38.434,32.585,null,-0.313
2011-09-11,18.349,56.313,null,7.083,8.007,null,0.000,37.415,32.304,null,-0.400
2011-09-12,20.489,56.111,null,6.538,7.995,null,0.060,37.265,31.780,null,-0.378
2011-09-13,22.623,56.623,null,6.388,7.979,null,0.020,37.642,31.070,null,-0.361
2011-09-14,18.094,56.172,null,6.555,7.966,null,0.010,36.528,30.720,null,-0.344
2011-09-15,12.303,56.008,null,6.598,7.964,null,0.000,37.183,31.039,null,-0.246
2011-09-16,11.917,56.210,null,8.023,8.032,null,0.000,37.333,30.877,null,-0.264
2011-09-17,12.748,55.345,null,9.695,8.124,null,0.000,36.691,30.665,null,-0.382
2011-09-18,13.040,52.935,null,8.563,8.095,null,0.000,34.905,30.457,null,-0.400
2011-09-19,13.885,52.697,null,7.825,8.045,null,0.000,34.730,30.566,null,-0.382
2011-09-20,13.730,52.748,null,7.743,8.072,null,0.030,34.767,30.698,null,-0.295
2011-09-21,14.253,53.715,null,7.154,8.072,null,0.500,35.481,29.854,null,-0.238
2011-09-22,13.624,56.909,null,5.152,8.006,null,0.000,37.861,29.369,null,-0.100
2011-09-23,12.489,59.730,null,4.859,7.970,null,1.440,39.973,30.240,null,-0.028
2011-09-24,11.752,56.688,null,5.479,7.981,null,0.010,37.695,31.670,null,-0.071
2011-09-25,13.031,56.278,null,5.869,7.975,null,1.010,37.384,31.238,null,-0.002
2011-09-26,14.040,55.748,null,4.341,7.958,null,1.540,36.990,29.706,null,0.160
2011-09-27,14.880,53.476,null,5.322,7.963,null,0.100,35.309,30.095,null,0.059
2011-09-28,15.559,51.381,null,5.990,7.936,null,0.180,33.765,31.449,null,0.011
2011-09-29,23.358,48.687,null,4.311,7.826,null,0.230,31.795,30.645,null,-0.011
2011-09-30,30.110,44.089,null,4.763,7.796,null,0.000,28.473,30.468,null,-0.051
2011-10-01,28.688,42.608,null,5.093,7.793,null,0.000,27.415,29.489,null,-0.152
2011-10-02,25.703,43.255,null,6.016,7.834,null,0.000,27.876,28.875,null,-0.317
2011-10-03,22.754,43.143,null,6.366,7.932,null,0.040,27.796,28.647,null,-0.424
2011-10-04,21.389,43.840,null,6.015,7.916,null,0.000,28.294,27.674,null,-0.686
2011-10-05,22.739,43.215,null,6.937,7.915,null,0.000,27.847,26.952,null,-0.775
2011-10-06,21.759,42.549,null,7.710,8.002,null,0.000,27.372,26.978,null,-0.792
2011-10-07,20.147,42.651,null,7.598,8.096,null,0.000,27.445,26.728,null,-0.592
2011-10-08,null,42.797,null,6.566,8.091,null,0.480,27.549,25.651,null,-0.491
2011-10-09,9.753,43.342,null,7.415,8.091,null,0.000,27.940,26.314,null,-0.215
2011-10-10,8.071,52.663,null,7.888,8.082,null,0.000,34.715,29.107,null,0.057
2011-10-11,null,58.839,null,8.498,8.153,null,0.000,39.304,30.521,null,0.124
2011-10-12,null,56.929,null,8.166,8.147,null,0.000,37.889,31.448,null,0.101
2011-10-13,null,58.100,null,9.192,8.214,null,0.000,38.747,32.248,null,0.115
2011-10-14,7.366,56.926,null,7.226,8.106,null,0.000,37.867,30.396,null,0.036
2011-10-15,10.102,54.845,null,5.004,7.947,null,0.580,36.318,27.721,null,-0.201
2011-10-16,11.987,50.517,null,5.348,7.901,null,1.990,33.139,25.900,null,-0.314
2011-10-17,13.796,45.235,null,5.269,7.823,null,1.690,29.300,25.278,null,-0.295
2011-10-18,14.600,43.843,null,4.546,7.760,null,0.780,28.304,25.544,null,0.077
2011-10-19,13.532,43.449,null,4.448,7.602,null,0.800,28.026,25.439,null,0.626
2011-10-20,16.084,36.477,null,4.179,7.371,null,0.000,23.101,24.119,null,-0.005
2011-10-21,16.647,31.210,null,5.763,7.527,null,0.000,19.455,22.752,null,-0.564
2011-10-22,15.067,29.223,null,7.577,7.727,null,0.000,18.102,22.497,null,-0.761
2011-10-23,14.657,27.793,null,7.505,7.764,null,0.000,17.134,23.479,null,-0.605
2011-10-24,14.237,27.819,null,7.750,7.855,null,0.000,17.152,24.249,null,-0.578
2011-10-25,14.171,28.260,null,8.530,7.990,null,0.000,17.449,24.088,null,-0.646
2011-10-26,14.615,27.597,null,7.856,7.950,null,0.000,17.004,24.898,null,-0.547
2011-10-27,15.482,30.767,null,7.087,7.942,null,0.000,19.155,26.317,null,-0.317
2011-10-28,17.050,32.728,null,6.787,7.925,null,0.510,20.497,27.148,null,-0.159
2011-10-29,17.561,33.160,null,6.020,7.879,null,0.070,20.792,27.861,null,0.112
