#Merged Datasets Daily/Validated from 2011-01-01 to 2024-11-30
#Date,WB/chlorophyll2,WB/cond2,WB/depth,WB/dissolved_oxygen,WB/pH,WB/FDOM,WB/rain,WB/salinity2,WB/surface_temperature,WB/turbidity2,WB/stage
2011-02-14,0.345,52.586,null,9.263,8.368,null,0.000,34.647,18.635,null,-1.759
2011-02-15,0.306,52.435,null,9.204,8.392,null,0.000,34.536,18.921,null,-1.629
2011-02-16,0.305,53.188,null,8.725,8.378,null,0.000,35.091,20.509,null,-1.435
2011-02-17,0.415,53.118,null,8.145,8.382,null,0.010,35.040,21.925,null,-1.243
2011-02-18,0.374,52.423,null,7.600,8.309,null,0.000,34.527,22.924,null,-1.103
2011-02-19,0.459,52.481,null,7.471,8.329,null,0.000,34.570,22.935,null,-1.140
2011-02-20,0.727,52.758,null,7.996,8.410,null,0.000,34.774,23.162,null,-1.126
2011-02-21,0.452,52.763,null,8.219,8.438,null,0.000,34.778,23.766,null,-0.996
2011-02-22,0.752,53.845,null,8.439,8.400,null,0.000,35.577,24.762,null,-0.961
2011-02-23,0.871,53.818,null,8.943,8.455,null,0.000,35.557,26.128,null,-1.104
2011-02-24,null,54.428,null,7.128,8.419,null,0.000,36.009,25.551,null,-1.162
2011-02-25,null,54.749,null,8.665,8.464,null,0.000,36.246,25.391,null,-1.032
2011-02-26,null,54.674,null,8.720,8.380,null,0.000,36.191,25.847,null,-1.079
2011-02-27,null,55.302,null,7.171,8.380,null,0.000,36.657,25.443,null,-1.138
2011-02-28,null,55.526,null,7.244,8.409,null,0.000,36.823,25.093,null,-1.064
2011-03-01,null,55.381,null,7.576,8.391,null,0.000,36.716,26.248,null,-1.017
2011-03-02,null,55.653,null,6.579,8.326,null,0.000,36.918,24.937,null,-1.230
2011-03-03,null,55.875,null,6.313,8.250,null,0.010,37.084,21.654,null,-1.483
2011-03-04,null,55.440,null,7.865,8.260,null,0.000,36.760,20.860,null,-1.552
2011-03-05,null,55.576,null,7.476,8.325,null,0.000,36.861,21.494,null,-1.336
2011-03-06,null,55.462,null,8.496,8.388,null,0.000,36.776,24.230,null,-0.936
2011-03-07,null,56.046,null,8.665,8.391,null,0.000,37.211,24.602,null,-0.986
2011-03-08,null,56.546,null,7.063,8.309,null,0.000,37.583,24.681,null,-0.993
2011-03-09,null,56.687,null,6.933,8.266,null,0.000,37.688,24.781,null,-1.070
2011-03-10,null,56.529,null,5.944,8.265,null,0.010,37.571,24.517,null,-0.878
2011-03-11,null,56.585,null,8.205,8.363,null,0.000,37.613,21.517,null,-1.113
2011-03-12,null,57.249,null,8.636,8.399,null,0.000,38.109,20.354,null,-1.339
2011-03-13,null,57.170,null,7.436,8.351,null,0.000,38.050,21.358,null,-1.368
2011-03-14,null,56.805,null,7.808,8.355,null,0.000,37.776,22.022,null,-1.365
2011-03-15,null,56.856,null,8.038,8.394,null,0.000,37.815,23.103,null,-1.300
2011-03-16,null,57.110,null,7.650,8.409,null,0.000,38.005,23.602,null,-1.173
2011-03-17,null,56.840,null,8.188,8.443,null,0.000,37.805,24.974,null,-1.189
2011-03-18,null,57.806,null,6.668,8.372,null,0.000,38.526,24.194,null,-1.218
2011-03-19,null,57.694,null,7.312,8.388,null,0.000,38.442,23.677,null,-1.174
2011-03-20,null,56.467,null,7.588,8.362,null,0.000,37.528,23.999,null,-1.155
2011-03-21,null,55.328,null,6.680,8.296,null,0.000,36.677,23.723,null,-1.240
2011-03-22,null,56.227,null,7.259,8.361,null,0.000,37.346,22.773,null,-1.279
2011-03-23,null,57.106,null,8.447,8.504,null,0.000,38.002,24.824,null,-1.089
2011-03-24,null,56.205,null,7.622,8.488,null,0.000,37.332,25.851,null,-0.966
2011-03-25,0.444,57.490,null,7.288,8.483,null,0.000,38.290,26.436,null,-1.016
2011-03-26,0.417,58.099,null,8.221,8.489,null,0.000,38.746,27.584,null,-1.071
2011-03-27,0.325,57.804,null,7.874,8.486,null,0.000,38.524,27.517,null,-0.953
2011-03-28,0.538,57.555,null,7.658,8.460,null,0.000,38.339,28.060,null,-0.937
2011-03-29,0.554,55.504,null,6.803,8.405,null,null,36.808,26.220,null,-1.141
2011-03-30,0.456,56.559,null,7.190,8.432,null,null,37.593,27.661,null,-1.004
2011-03-31,0.391,56.312,null,6.608,8.407,null,null,37.409,28.273,null,-0.804
2011-04-01,0.480,57.962,null,6.452,8.444,null,null,38.643,27.929,null,-0.686
2011-04-02,0.523,58.092,null,6.091,8.419,null,null,38.740,26.914,null,-0.995
2011-04-03,0.491,58.335,null,6.445,8.376,null,null,38.922,28.986,null,-1.141
2011-04-04,0.574,58.897,null,6.472,8.410,null,null,39.344,27.880,null,-1.230
2011-04-05,0.578,58.334,null,6.829,8.435,null,null,38.923,27.634,null,-0.911
2011-04-06,null,57.931,null,7.245,8.404,null,null,38.620,26.939,null,-1.097
2011-04-07,null,58.269,null,6.367,8.366,null,0.000,38.873,27.033,null,-1.196
2011-04-08,null,57.390,null,7.668,8.410,null,0.000,38.215,28.398,null,-1.151
2011-04-09,null,57.160,null,7.407,8.435,null,0.000,38.043,28.526,null,-1.116
2011-04-10,null,57.920,null,7.271,8.448,null,0.000,38.611,28.594,null,-1.014
2011-04-11,null,58.642,null,7.812,8.484,null,0.000,39.153,28.686,null,-0.913
2011-04-12,null,58.730,null,8.408,8.520,null,0.000,39.219,29.757,null,-0.810
2011-04-13,null,58.686,null,7.691,8.545,null,0.000,39.186,29.265,null,-0.753
2011-04-14,null,59.428,null,9.040,8.598,null,0.000,39.744,27.988,null,-0.761
2011-04-15,null,59.904,null,10.180,8.594,null,0.000,40.103,28.818,null,-0.693
2011-04-16,null,60.126,null,9.474,8.585,null,0.000,40.270,29.359,null,-0.567
2011-04-17,null,60.070,null,7.896,8.543,null,0.000,40.228,30.329,null,-0.564
2011-04-18,null,59.887,null,7.856,8.553,null,0.000,40.090,28.922,null,-0.648
2011-04-19,null,60.154,null,6.892,8.516,null,0.000,40.292,28.746,null,-0.743
2011-04-20,null,61.031,null,7.186,8.437,null,0.000,40.850,28.055,null,-0.912
2011-04-21,null,61.866,null,6.386,8.416,null,0.000,41.231,27.347,null,-1.108
2011-04-22,null,62.098,null,7.138,8.449,null,0.000,40.666,26.199,null,-1.220
2011-04-23,null,62.212,null,6.670,8.440,null,0.000,41.017,26.824,null,-1.232
2011-04-24,null,62.471,null,6.182,8.435,null,0.000,41.025,27.552,null,-1.234
2011-04-25,null,62.973,null,5.450,8.403,null,0.000,41.170,27.940,null,-1.231
2011-04-26,null,63.224,null,3.402,8.488,null,0.000,41.270,29.246,null,-1.004
2011-04-27,null,63.548,null,4.258,8.506,null,0.000,41.737,29.538,null,-0.852
2011-04-28,null,64.055,null,4.393,8.508,null,0.000,41.925,29.886,null,-0.894
2011-04-29,null,64.457,null,5.245,8.472,null,0.000,42.103,30.745,null,-0.951
2011-04-30,null,64.526,null,4.355,8.411,null,0.000,42.764,29.093,null,-0.957
2011-05-01,null,65.629,null,6.371,8.311,null,0.000,43.151,27.785,null,-1.192
2011-05-02,null,66.001,null,6.561,8.395,null,0.000,43.118,28.045,null,-1.315
2011-05-03,null,66.228,null,7.450,8.409,null,0.000,42.766,28.297,null,-1.339
2011-05-04,0.183,65.778,null,5.911,8.375,null,0.000,43.590,28.186,null,-1.157
2011-05-05,0.214,66.089,null,6.514,8.341,null,0.000,44.814,28.265,null,-1.129
2011-05-06,0.223,66.508,null,6.706,8.475,null,0.011,45.136,28.027,null,-1.071
2011-05-07,0.258,67.141,null,7.407,8.568,null,0.000,45.624,29.590,null,-0.953
2011-05-08,0.296,67.331,null,7.123,8.488,null,0.000,45.771,30.925,null,-0.888
2011-05-09,0.342,67.325,null,7.937,8.533,null,0.000,45.766,31.058,null,-0.876
2011-05-10,0.387,68.019,null,8.008,8.604,null,0.000,46.303,30.955,null,-0.920
2011-05-11,0.425,67.420,null,7.599,8.582,null,0.000,45.840,29.988,null,-0.868
2011-05-12,0.500,67.976,null,4.903,8.438,null,0.526,46.270,29.742,null,-0.778
2011-05-13,0.553,67.161,null,6.080,8.438,null,0.000,45.639,28.031,null,-0.729
2011-05-14,0.589,67.579,null,7.288,8.493,null,0.000,45.962,29.277,null,-0.490
2011-05-15,0.634,67.341,null,6.690,8.496,null,0.097,45.779,28.415,null,-0.300
2011-05-16,null,67.638,null,6.506,8.585,null,0.000,46.008,27.170,null,-0.246
2011-05-17,null,68.136,null,6.142,8.621,null,0.000,46.393,27.081,null,-0.182
2011-05-18,null,68.474,null,7.673,8.624,null,0.000,46.655,28.030,null,-0.357
2011-05-19,null,68.617,null,7.634,8.636,null,0.000,46.766,29.332,null,-0.538
2011-05-20,null,68.688,null,6.275,8.610,null,0.000,46.821,29.930,null,-0.671
2011-05-21,null,69.538,null,5.921,8.518,null,0.000,47.480,30.240,null,-0.730
2011-05-22,null,70.450,null,6.729,8.480,null,0.000,48.191,30.632,null,-0.844
2011-05-23,null,71.259,null,5.458,8.354,null,0.000,48.823,28.051,null,-1.001
2011-05-24,null,70.632,null,6.146,8.287,null,0.000,46.637,28.145,null,-1.069
2011-05-25,null,70.365,null,7.042,8.295,null,0.000,45.145,28.576,null,-1.061
2011-05-26,0.492,70.099,null,6.600,8.339,null,0.098,45.539,29.226,null,-0.927
2011-05-27,0.650,70.062,null,7.008,8.382,null,0.000,45.146,29.969,null,-0.878
2011-05-28,0.647,70.398,null,6.265,8.396,null,0.000,47.547,29.960,null,-0.913
2011-05-29,0.881,70.714,null,6.963,8.322,null,0.000,47.197,29.715,null,-1.026
2011-05-30,0.933,70.809,null,6.815,8.338,null,0.000,47.055,28.161,null,-1.180
2011-05-31,0.930,69.856,null,6.265,8.368,null,0.098,46.499,27.790,null,-1.306
2011-06-01,1.186,69.676,null,7.175,8.425,null,0.011,46.017,27.512,null,-1.372
2011-06-02,1.446,69.957,null,7.281,8.410,null,0.000,46.081,28.596,null,-1.339
2011-06-03,null,70.057,null,6.504,8.375,null,0.000,46.483,28.223,null,-1.340
2011-06-04,null,70.229,null,6.130,8.335,null,0.000,46.621,28.073,null,-1.288
2011-06-05,null,70.063,null,6.606,8.338,null,0.000,46.203,28.429,null,-1.218
2011-06-06,null,70.586,null,5.369,8.371,null,0.000,46.836,28.154,null,-0.957
2011-06-07,1.055,68.062,null,5.545,8.240,null,0.000,46.243,28.820,null,-0.765
2011-06-08,1.087,68.929,null,5.944,8.243,null,0.000,47.009,28.058,null,-0.860
2011-06-09,1.042,68.628,null,5.292,8.279,null,0.022,46.774,27.235,null,-0.884
2011-06-10,1.204,67.885,null,5.627,8.343,null,0.000,46.199,28.159,null,-0.852
2011-06-11,1.253,68.165,null,5.714,8.379,null,0.000,46.416,28.047,null,-0.695
2011-06-12,1.065,68.935,null,6.699,8.414,null,0.000,47.012,29.986,null,-0.478
2011-06-13,1.186,69.178,null,6.503,8.383,null,0.000,47.201,31.715,null,-0.395
2011-06-14,1.260,68.623,null,6.218,8.393,null,0.000,46.771,32.584,null,-0.423
2011-06-15,1.513,68.667,null,5.728,8.395,null,0.000,46.804,30.983,null,-0.390
2011-06-16,1.785,68.949,null,5.932,8.446,null,0.000,47.023,31.367,null,-0.400
2011-06-17,1.328,69.990,null,6.287,8.485,null,0.000,47.832,31.518,null,-0.427
2011-06-18,1.616,70.549,null,6.263,8.488,null,0.000,48.268,32.002,null,-0.490
2011-06-19,3.712,70.272,null,5.665,8.445,null,1.432,48.055,32.133,null,-0.591
2011-06-20,2.791,71.431,null,4.959,8.401,null,0.276,48.957,31.906,null,-0.621
2011-06-21,null,71.206,null,5.119,8.390,null,0.000,48.781,31.448,null,-0.683
2011-06-22,null,71.358,null,5.310,8.366,null,0.000,48.900,31.362,null,-0.667
2011-06-23,null,71.983,null,6.462,8.417,null,0.000,49.389,31.739,null,-0.622
2011-06-24,2.355,73.935,null,null,8.363,null,0.000,50.923,32.240,null,-0.563
2011-06-25,1.871,73.517,null,null,8.380,null,0.000,50.594,30.956,null,-0.555
2011-06-26,1.450,73.587,null,null,8.418,null,0.055,50.649,31.235,null,-0.478
2011-06-27,1.608,73.968,null,null,8.397,null,0.000,50.949,31.302,null,-0.607
2011-06-28,1.988,72.340,null,null,8.293,null,1.142,49.669,30.037,null,-0.654
2011-06-29,1.766,72.112,null,null,8.296,null,0.000,49.490,29.178,null,-0.601
2011-06-30,1.788,72.450,null,null,8.306,null,0.000,49.755,28.457,null,-0.585
2011-07-01,1.697,72.880,null,null,8.288,null,0.000,50.093,29.632,null,-0.508
2011-07-02,1.900,72.522,null,null,8.300,null,0.022,49.811,30.085,null,-0.534
2011-07-03,1.801,71.867,null,null,8.322,null,0.000,49.298,29.714,null,-0.534
2011-07-04,1.710,71.480,null,null,8.335,null,0.000,48.995,29.773,null,-0.513
2011-07-05,1.710,69.844,null,null,8.320,null,0.089,47.719,29.554,null,-0.571
2011-07-06,1.570,67.662,null,null,8.297,null,3.198,46.037,28.867,null,-0.467
2011-07-07,1.124,68.917,null,null,8.279,null,2.743,47.009,28.259,null,-0.291
2011-07-08,1.064,68.571,null,null,8.464,null,0.000,46.730,28.102,null,-0.335
2011-07-09,1.004,68.818,null,null,8.508,null,0.000,46.922,29.442,null,-0.499
2011-07-10,1.298,68.413,null,null,8.437,null,0.000,46.608,30.699,null,-0.619
2011-07-11,2.488,68.665,null,null,null,null,0.034,46.803,31.717,null,-0.676
2011-07-12,0.882,68.785,null,6.465,null,null,0.000,46.896,32.009,null,-0.660
2011-07-13,0.716,68.800,null,7.642,null,null,0.000,46.908,33.228,null,-0.597
2011-07-14,0.818,68.491,null,7.623,null,null,0.000,46.668,34.013,null,-0.518
2011-07-15,0.901,69.017,null,6.833,null,null,0.000,47.076,33.618,null,-0.417
2011-07-16,1.095,70.443,null,5.889,null,null,0.000,48.185,33.161,null,-0.370
2011-07-17,null,70.450,null,6.368,null,null,1.190,48.191,33.697,null,-0.377
2011-07-18,null,68.120,null,5.870,null,null,0.000,46.381,32.333,null,-0.429
2011-07-19,null,68.658,null,6.793,null,null,0.000,46.797,32.408,null,-0.411
2011-07-20,null,68.826,null,7.603,8.487,null,0.000,46.529,33.181,null,-0.412
2011-07-21,null,67.038,null,null,null,null,0.653,44.263,33.532,null,-0.500
2011-07-22,null,67.331,null,null,null,null,0.090,44.532,33.497,null,-0.587
2011-07-23,null,67.403,null,null,null,null,0.000,44.477,32.391,null,-0.729
2011-07-24,null,68.377,null,null,null,null,0.000,45.175,31.832,null,-0.811
2011-07-25,null,68.918,null,null,null,null,0.000,43.847,31.880,null,-0.766
2011-07-26,null,68.843,null,null,null,null,0.124,42.721,31.166,null,-0.574
2011-07-27,null,68.703,null,null,null,null,0.000,43.294,30.447,null,-0.510
2011-07-28,null,69.055,null,null,null,null,0.011,44.317,30.576,null,-0.564
2011-07-29,null,69.295,null,null,null,null,0.000,44.927,31.326,null,-0.660
2011-07-30,null,69.389,null,null,null,null,0.000,45.787,31.106,null,-0.622
2011-07-31,null,69.547,null,null,null,null,0.000,44.303,31.720,null,-0.514
2011-08-01,null,69.810,null,null,null,null,0.000,44.413,32.324,null,-0.409
2011-08-02,2.431,null,null,null,null,null,0.000,null,null,null,-0.359
2011-08-03,2.592,71.022,null,6.434,8.353,null,0.000,48.637,33.127,null,-0.292
2011-08-04,2.461,70.317,null,6.761,8.426,null,0.000,48.088,33.170,null,-0.295
2011-08-05,3.015,70.162,null,6.506,8.420,null,0.000,47.968,33.066,null,-0.468
2011-08-06,2.908,68.448,null,5.724,8.472,null,1.297,46.637,32.560,null,-0.535
2011-08-07,3.809,67.171,null,5.202,8.390,null,0.524,45.648,31.828,null,-0.562
2011-08-08,3.539,66.982,null,4.370,8.374,null,0.718,45.502,30.023,null,-0.567
2011-08-09,3.131,66.897,null,6.212,8.446,null,0.000,45.436,30.265,null,-0.569
2011-08-10,4.188,66.679,null,5.351,8.469,null,0.000,45.268,30.424,null,-0.551
2011-08-11,4.188,64.890,null,4.081,8.440,null,0.844,43.894,28.980,null,-0.527
2011-08-12,4.740,63.976,null,5.025,8.441,null,0.000,43.194,29.781,null,-0.480
2011-08-13,4.439,63.456,null,7.289,8.560,null,0.777,42.798,31.677,null,-0.495
2011-08-14,4.333,62.755,null,6.877,8.563,null,0.000,42.263,32.696,null,-0.494
2011-08-15,4.545,61.302,null,6.879,8.563,null,0.915,41.161,32.693,null,-0.388
2011-08-16,4.323,60.225,null,7.287,8.597,null,0.275,40.345,32.132,null,-0.352
2011-08-17,7.743,60.558,null,8.338,8.685,null,0.000,40.597,32.514,null,-0.372
2011-08-18,8.323,59.985,null,7.329,8.671,null,0.310,40.164,31.723,null,-0.355
2011-08-19,4.841,60.612,null,5.669,8.596,null,0.310,40.637,30.104,null,-0.222
2011-08-20,4.657,60.317,null,5.540,8.557,null,0.471,40.415,29.698,null,-0.233
2011-08-21,4.686,60.803,null,6.944,8.537,null,0.000,40.782,30.988,null,-0.313
2011-08-22,null,61.687,null,6.357,8.492,null,0.000,41.452,31.692,null,-0.312
2011-08-23,null,61.509,null,5.176,8.474,null,0.186,41.317,30.986,null,-0.234
2011-08-24,null,62.915,null,5.049,8.354,null,0.080,42.386,30.405,null,-0.191
2011-08-25,null,63.949,null,5.427,8.387,null,0.020,43.173,29.337,null,-0.259
2011-08-26,null,62.487,null,5.759,8.504,null,0.010,42.059,29.764,null,0.104
2011-08-27,null,62.542,null,5.933,8.505,null,null,42.101,29.898,null,0.168
2011-08-28,9.282,61.187,null,5.664,8.605,null,null,41.074,29.688,null,0.171
2011-08-29,null,59.729,null,5.865,8.607,null,null,39.971,29.549,null,0.159
2011-08-30,null,59.760,null,6.413,8.557,null,null,39.994,29.394,null,0.035
2011-08-31,null,59.956,null,5.785,8.498,null,null,40.142,29.287,null,-0.108
2011-09-01,null,60.706,null,4.849,8.421,null,null,40.709,29.742,null,-0.178
2011-09-02,null,61.356,null,5.796,8.414,null,null,41.201,29.737,null,-0.231
2011-09-03,null,61.879,null,5.672,8.392,null,null,41.597,30.293,null,-0.181
2011-09-04,null,61.587,null,5.292,8.412,null,null,41.375,30.678,null,-0.146
2011-09-05,null,61.623,null,7.317,8.533,null,null,41.403,30.921,null,-0.144
2011-09-06,null,60.822,null,7.807,8.599,null,0.000,40.796,31.319,null,-0.124
2011-09-07,null,60.515,null,6.424,8.594,null,0.000,40.564,31.474,null,-0.267
2011-09-08,null,60.227,null,6.367,8.623,null,0.000,40.346,31.841,null,-0.339
2011-09-09,null,59.976,null,7.633,8.675,null,0.000,40.157,32.505,null,-0.419
2011-09-10,null,59.970,null,6.846,8.649,null,0.000,40.153,32.677,null,-0.424
2011-09-11,null,60.398,null,6.122,8.521,null,0.010,40.476,31.818,null,-0.499
2011-09-12,null,59.995,null,6.561,8.597,null,0.560,40.172,31.510,null,-0.492
2011-09-13,null,59.894,null,6.933,8.508,null,0.280,40.095,31.891,null,-0.431
2011-09-14,1.298,59.860,null,6.034,8.404,null,0.480,40.069,31.302,null,-0.406
2011-09-15,1.834,59.836,null,6.013,8.424,null,0.000,40.051,31.895,null,-0.331
2011-09-16,1.174,60.249,null,7.208,8.529,null,0.000,40.363,32.084,null,-0.359
2011-09-17,1.385,60.847,null,6.827,8.554,null,0.000,40.816,31.027,null,-0.467
2011-09-18,1.650,61.991,null,6.240,8.474,null,0.070,41.682,30.463,null,-0.465
2011-09-19,1.250,62.754,null,6.126,8.427,null,0.000,42.262,30.419,null,-0.485
2011-09-20,1.601,63.709,null,6.990,8.426,null,0.000,42.990,30.399,null,-0.409
2011-09-21,1.879,65.127,null,6.602,8.364,null,0.120,44.075,30.329,null,-0.375
2011-09-22,1.584,65.053,null,5.978,8.347,null,0.020,44.018,29.888,null,-0.203
2011-09-23,2.049,63.352,null,5.870,8.355,null,0.480,42.718,30.205,null,-0.120
2011-09-24,1.329,62.135,null,5.045,8.367,null,0.020,41.791,31.186,null,-0.157
2011-09-25,1.298,61.883,null,5.043,8.393,null,1.630,41.600,31.071,null,-0.120
2011-09-26,1.217,60.096,null,5.149,8.441,null,1.460,40.248,29.704,null,-0.002
2011-09-27,1.291,58.825,null,5.923,8.445,null,0.210,39.290,29.187,null,-0.048
2011-09-28,1.037,57.913,null,7.151,8.485,null,0.050,38.607,30.354,null,-0.093
2011-09-29,1.115,58.620,null,6.637,8.463,null,0.010,39.137,30.776,2.640,-0.109
2011-09-30,1.234,59.601,null,5.524,8.440,null,0.000,39.874,30.912,2.550,-0.118
2011-10-01,1.422,59.511,null,6.114,8.543,null,0.000,39.806,29.349,2.952,-0.211
2011-10-02,1.259,60.078,null,6.568,8.509,null,0.000,40.234,28.201,3.343,-0.374
2011-10-03,1.200,61.055,null,6.037,8.420,null,0.000,40.973,28.030,2.342,-0.495
2011-10-04,1.293,62.489,null,6.035,8.300,null,0.000,42.061,26.437,3.667,-0.741
2011-10-05,1.145,63.443,null,7.247,8.422,null,0.000,42.788,26.093,2.404,-0.807
2011-10-06,0.981,64.757,null,6.867,8.469,null,0.000,43.792,26.329,2.452,-0.790
2011-10-07,0.926,65.361,null,6.080,8.384,null,0.000,44.255,26.011,2.119,-0.602
2011-10-08,1.033,65.085,null,5.353,8.296,null,0.170,44.043,25.062,3.515,-0.495
2011-10-09,0.948,64.525,null,6.506,8.303,null,0.150,43.614,26.345,2.965,-0.290
2011-10-10,1.036,64.702,null,8.029,8.404,null,0.000,43.749,28.209,5.173,-0.053
2011-10-11,null,63.018,null,6.938,8.442,null,0.000,42.465,29.900,2.110,0.008
2011-10-12,null,62.959,null,8.037,8.492,null,0.000,42.419,30.802,2.971,-0.009
2011-10-13,null,62.570,null,6.817,8.444,null,0.000,42.122,30.633,5.938,-0.009
2011-10-14,0.858,62.764,null,5.858,8.426,null,0.000,42.270,29.550,4.573,-0.064
2011-10-15,0.729,62.574,null,3.865,8.178,null,1.360,42.128,26.449,3.335,-0.281
2011-10-16,0.715,58.230,null,4.995,8.003,null,2.150,38.846,24.901,4.252,-0.403
2011-10-17,0.589,55.131,null,5.285,7.988,null,2.280,36.531,24.697,3.956,-0.386
2011-10-18,0.457,56.419,null,5.492,8.045,null,0.990,37.490,25.017,3.060,-0.071
2011-10-19,0.781,55.191,null,5.133,7.944,null,1.760,36.575,25.239,4.523,0.448
2011-10-20,0.769,55.653,null,6.753,8.055,null,0.000,36.918,24.431,2.913,-0.141
2011-10-21,0.710,55.586,null,7.916,8.149,null,0.000,36.868,22.680,3.712,-0.698
2011-10-22,0.733,55.489,null,8.698,8.280,null,0.000,36.796,21.907,3.587,-0.857
2011-10-23,0.673,55.453,null,7.727,8.336,null,0.000,36.770,23.372,3.623,-0.651
2011-10-24,0.878,54.376,null,7.566,8.289,null,0.000,35.970,24.273,4.352,-0.557
2011-10-25,0.846,54.336,null,8.052,8.409,null,0.000,35.940,23.968,4.106,-0.666
2011-10-26,0.780,54.007,null,7.509,8.358,null,0.000,35.696,24.695,2.373,-0.623
2011-10-27,0.874,54.311,null,7.308,8.322,null,0.000,35.921,25.821,2.398,-0.421
2011-10-28,0.960,54.267,null,7.943,8.386,null,0.860,35.889,26.616,2.525,-0.293
2011-10-29,1.004,53.646,null,6.759,8.375,null,0.020,35.429,27.468,2.950,-0.083
2011-10-30,0.864,54.173,null,5.898,8.255,null,0.030,35.820,26.495,3.596,-0.447
2011-10-31,0.918,53.593,null,5.342,8.263,null,1.080,35.391,26.052,2.654,-0.482
2011-11-01,0.824,52.583,null,7.114,8.281,null,0.000,34.645,25.273,4.819,-0.749
2011-11-02,0.781,51.922,null,6.604,8.252,null,0.000,34.158,24.742,2.917,-0.919
